PWN ID,English Lemmas,English Gloss,English Examples,Arabic lemmas or Gap,Arabic Gloss,Arabic Examples
2075880,same,same in identity,the same man I saw yesterday; never wore the same dress twice; this road is the same one we were on yesterday; on the same side of the street,"ذَاتَه, نَفْسَه, عَيْنَه",ما يتطابق مع الشيء في هويته,لا تتحدث بالموضوع ذاته كل يوم. لبسنا الثياب نفسها أنا وأختي.  هذا الشيء عينه الذي كنت ابحث عنه
2091950,scientific,conforming with the principles or methods used in science,a scientific approach,عِلْمي,خاضع للقواعد والقوانين العلمية وليس للخيال أو العواطف,أسلوب علمي في شرح الدرس. طريقة بحث علمية
2107311,"older, sr., elder",used of the older of two persons of the same name especially used to distinguish a father from his son,"Bill Adams, Sr.","كُبْرَى, أَكْبَر","الشخص الأكبر سناً من بين اثنين لهما نفس الاسم، وغالباً بين الأب وابنه أو الأخ وأخيه",أخي الأكبر بثلاث سنوات.الشقيقة الكبرى
2116958,separate,independent; not united or joint,a problem consisting of two separate issues; they went their separate ways; formed a separate church,"مُنْفَصِل, مُسْتَقِلّ", موجود أو حاصل بشكل منفصل عن غيره أو في مكان مختلف في الواقع,احتفظ باللحم في مكان منفصل عن باقي الطعام. تنقسم المدرسة إلى بناءين مستقلين
2130856,selected,chosen in preference to another,,"مُنْتَقًى, مُخْتَار",تم اختياره لتفضيله على الخيارات الأخرى,طعام منتقى. منزل مختار للسكن
2143325,"asexual, nonsexual",not having or involving sex,an asexual spore; asexual reproduction,لاجِنْسِي,غياب وجود أمشاج ذكرية تلتقي مع أمشاج أنثوية حيث يصنع الكائن الحي المزيد من أمثاله دون حدوث تبادلات جينية,من طرق التكاثر اللاجنسي الانشطار الثنائي والتبرعم
2233368,skilled,having or showing or requiring special skill,only the most skilled gymnasts make an Olympic team; a skilled surgeon has many years of training and experience; a skilled reconstruction of her damaged elbow; a skilled trade,"مَاهِر, مُتَمَكِّن",لديه القدرات المطلوبة للقيام بنشاط أو عمل ما بشكل ممتاز,والدتي ماهرة في خياطة الفساتين. إنه طاهٍ متمكن
2244586,smooth,having a surface free from roughness or bumps or ridges or irregularities,smooth skin; a smooth tabletop; smooth fabric; a smooth road; water as smooth as a mirror,"أَمْلَس, نَاعِم",له سطح خالٍ من الخشونة أو الثقوب أو الارتفاعات والانخفاضات المفاجئة,بشرة ملساء. نسيج ناعم
2266995,sold,disposed of to a purchaser,this merchandise is sold, مُبَاع,تم التخلص منه لأحد المشترين,القطع المباعة لم تعد متوفرة.
2267791,solid,of definite shape and volume; firm; neither liquid nor gaseous,ice is water in the solid state,"صَلْب, جَامِد","له شكل وحجم محدد وثابت، ليس سائلاً ولا غازياً",الحديد مادة صلبة في حرارة الغرفة
2269142,liquid,existing as or having characteristics of a liquid; especially tending to flow,water and milk and blood are liquid substances, سَائِل,"ليس صلباً ولا غازياً، له خصائص السوائل، وبالأخص التي تميل للتدفق",الزئبق مادة سائلة في حرارة الغرفة
2270298,gaseous,existing as or having characteristics of a gas,steam is water is the gaseous state,غَازِيّ,"يتألف من غازات وله خصائص الغازات، ليس بسائل ولا صلب",بخار الماء هو حالة غازية
2272771,soluble,(of a substance) capable of being dissolved in some solvent (usually water),, ذَوَّاب,يمكنه أن يذوب وينحل في مذيب ما (غالباً يكون الماء),الملح ذواب في الماء
2286688,spirited,"displaying animation, vigor, or liveliness",,مُفْعَم بِالحَيَوِيَّة,يبدو عليه الحماس وممتلئ بالحركة والطاقة ,أداء رياضي مفعم بالحيوية
2289059,spiritless,lacking ardor or vigor or energy,a spiritless reply to criticism," فَاتِر ,بلا روح",لا يبدو عليه الحماس والحيوية وتنقصه الطاقة والبهجة,كان رده فاتراً. أداء بلا روح
2292312,written,set down in writing in any of various ways,written evidence," مُدَوَّن, مَكْتُوب, كِتَابِيّ",تم التعبير عنه بإحدى الطرق الكتابية المختلفة,قصيدة مدونة. وثيقة مكتوبة. اختبار كتابي. 
2318575,straight,having no deviations,straight lines; straight roads across the desert; straight teeth; straight shoulders,مُسْتَقِيم,ليس له أي التفاتات أو انحرافات,شارع مستقيم عبر الصحراء
2322264,straight,free from curves or angles,a straight line,مُسْتَقِيم,خال من الانحناءات أو زوايا,خط هندسي مستقيم
2328781,strong,having strength or power greater than average or expected,a strong radio signal; strong medicine; a strong man,قَويّ,ذو تأثير أكبر من المعدل او المتوقع,دواء قوي سريع المفعول. رجل قوي يستطيع رفع الأثقال
2359603,based,having a base,firmly based ice,"مَبْنِي عَلَى,مُرْتَكِز عَلَى",له قاعدة يرتكز عليها ليبقى ثابتاً,برامج مبنية على الحوار. جسر مرتكز على الأعمدة
2366035,surprised,taken unawares or suddenly and feeling wonder or astonishment,surprised by her student's ingenuity; surprised that he remembered my name; a surprised expression,مُنْدَهِش,يبدي الدهشة بسبب حصول أمر مفاجئ لم يكن يتوقعه,مندهش من ذكاء الطفل. مندهش أن الآلة المعطلة عادت تعمل
2386219,"synchronous, synchronal, synchronic",occurring or existing at the same time or having the same period or phase,"recovery was synchronous with therapy""- Jour.A.M.A.; a synchronous set of clocks; the synchronous action of a bird's wings in flight; synchronous oscillations",مُتَزَامِن,يحدث أو يتم فعله في نفس الوقت وفي مكانين منفصلين,الرفرفة المتزامنة لجناحي الطائر
2393670,tall,great in vertical dimension; high in stature,tall people; tall buildings; tall trees; tall ships,"عَالِي ,طويل",مرتفع بالمسافة رأسياً أكثر من المعدل الطبيعي,طفل طويل بعمر الخمس سنوات. بناء عالٍ يقترب من ناطحة السحاب
2400702,tangible,(of especially business assets) having physical substance and intrinsic monetary value,tangible property like real estate; tangible assets such as machinery,مَادِّيّ,ذو قيمة مادية حقيقية جوهرية,ملكية مادية كالعقار. أصول مادية كالآليات
2401445,tasteful,having or showing or conforming to good taste,, لَذِيذ,ذو مذاق جيد ومقبول,أحب هذا الصنف اللذيذ من الطعام
2454161,touched,having come into contact,,"مَلْمُوس, مَمْسُوس",يكون على اتصال ملموس بشيء ما,الطعام المقدم غير ملموس بالأيدي. ما زال كل شيء على حاله ليس ممسوساً
2469730,true,consistent with fact or reality; not false,"the story is true; it is undesirable to believe a proposition when there is no ground whatever for supposing it true""- B. Russell; the true meaning of the statement","حَقِيقِي, صَحِيح",متوافق مع الحقيقة أو الواقع..وليس خاطئاً أو زائفاً, القصة حقيقة حصلت منذ سنوات. هذه جملة صحيحة ومذكورة في الكتاب.
2470951,false,not in accordance with the fact or reality or actuality,gave false testimony under oath; false tales of bravery,"مُزَوَّر, زَائِف",غير متوافق مع الحقيقة أو الواقع ,شهادة مزورة في المحكمة. تفسير زائف للأحداث
2488224,divided,separated into parts or pieces,opinions are divided,مُنْقَسِم,منفصل أو منقسم إلى أجزاء أو قطع,آراء الناس منقسمة بين مؤيد ومعارض. المدينة منقسمة إلى أربعة أجزاء
2504394,downtown,"of or located in the lower part of a town, or in the business center",downtown Manhattan; delinquents roaming the downtown streets,وَسَطَ المَدِينَة,واقع في مركز المدينة الشهير بكونه مركز الأعمال,أعمل في وسط المدينة لكني أعيش في الريف
2504601,used,employed in accomplishing something,"the principle of surprise is the most used and misused of all the principles of war""- H.H.Arnold & I.C.Eaker", مُسْتَخْدَم,تم توظيفه لإنجاز غرض معين,أسلوب الحزم مستخدم مع جميع الموظفين
2520120,vertebrate,having a backbone or spinal column,fishes and amphibians and reptiles and birds and mammals are verbetrate animals, فَقَارِيّ,يمتلك عموداً فقرياً أو هيكلاً عظمياً يسند الجسد ويثبته خاصة من فوق ,الطيور والثدييات حيوانات فقارية
2520331,"spineless, invertebrate",lacking a backbone or spinal column,worms are an example of invertebrate animals,لافَقَارِيّ,يفتقر إلى الهيكل العظمي أو العمود الفقري,"الديدان، الأخطبوط، والاسفنج أمثلة على حيوانات لا فقارية"
2529611,volatile,evaporating readily at normal temperatures and pressures,volatile oils; volatile solvents,"طَيَّار, مُتَطَايِر",يتبخر بسهولة في درجات الحرارة والضغط الطبيعيين,زيوت عطرية طيارة
2530275,voluntary,of your own free will or design; not forced or compelled,man is a voluntary agent; participation was voluntary; voluntary manslaughter; voluntary generosity in times of disaster; voluntary social workers; a voluntary confession, تَطَوُّعِي,نابع من رغبتك وإرادتك للقيام به دون إجبار ودون الحصول على مقابل مادي,خدمة عسكرية تطوعية. أعمال اجتماعية تطوعية
2537084,wanted,desired or wished for or sought,couldn't keep her eyes off the wanted toy; a wanted criminal; a wanted poster, مَطْلُوب,يُراد ويُرغب به ويُبحث عنه,تم القبض على المجرم المطلوب. توصلت إلى الحل المطلوب
2542980,warm-blooded,having warm blood (in animals whose body temperature is internally regulated),,ذُو دَمّ حَار,ذو دم درجة حرارته ثابتة داخلياً ولا تتغير بتغير البيئة والحرارة المحيطة,الثدييات والطيور ذوات دم حار
2543370,cold-blooded,having cold blood (in animals whose body temperature is not internally regulated),,بَارِد الدَّم,ذو دم بارد عند الحيوانات التي درجة حرارتها الداخلية غير ثابتة وتكتسب حرارتها من الجو المحيط أو من خلال بقائها نشيطة.,الثعابين والسحالي حيوانات ذات دم بارد
2545349,increasing,becoming greater or larger,increasing prices,مُتَزَايِد,يصبح أكبر وأضخم بالعدد أو بالحجم,الإقبال كبير وأعداد الزوار متزايدة يوماً بعد يوم 
2547212,decreasing,becoming less or smaller,,مُتَنَاقِص,يصبح أصغر وأقل بالعدد أو بالحجم,الطلب على البضاعة متناقص بسبب غلاء الأسعار
2552072,"ill, sick",affected by an impairment of normal physical or mental function,ill from the monotony of his suffering,مَرِيض,متأثر بضعف الوظائف الطبيعية جسدياً أو عقلياً,أدخل الشخص المريض إلى المستشفى للعلاج. 
2558087,wet,covered or soaked with a liquid such as water,a wet bathing suit; wet sidewalks; wet weather," مُبَلَّل, مُبْتَلّ",مغطى بالماء أو سائل آخر,أرض مبلل بالماء. شعر مبتل بعد الاستحمام
2562150,dry,free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet,dry land; dry clothes; a dry climate; dry splintery boards; a dry river bed; the paint is dry,جَاف,"خالٍ من أي سائل أو رطوبة، أو استنزفت منه المياه أو لم يعد مبللاً",أصبحت الملابس جافة بعد نشرها في الشمس. أصبح النهر جافاً بعد استنزاف المياه إلى المدينة
2575716,willing,disposed or inclined toward,a willing participant; willing helpers,"رَاغِب, مُسْتَعِدّ",يريد شيئاً أو يريد فعل شيء بكل سعادة وحماس ورضا,راغب بالعمل التطوعي. مستعد للمهمات الصعبة
2610356,academic,associated with academia or an academy,the academic curriculum; academic gowns, أَكَادِيمِي,يخص الدراسات الجامعية والتعليم العالي,بحث أكاديمي. طالب أكاديمي
2618326,agential,of or relating to an agent or agency,,عَامِل,يخص وكيلاً أو وكالة ويعمل بالنيابة ,
2621529,algoid,of or resembling algae,,طَحْلَبَانِي,يشبه الطحالب من حيث طبيعته وشكله,امتلأ حوض السمك بأعشاب طحلبانية
2625362,altitudinal,pertaining to altitude,,اِرْتِفَاعِيّ,يخص الارتفاع نحو الأعلى,أظهر التمثيل البياني اختلافات في البيانات الارتفاعية 
2630967,analytic,using or subjected to a methodology using algebra and calculus,analytic statics,تَحْلِيلِي,خاضع للتعامل معه بطريقة الجبر والحساب,إحصاء تحليلي
2633946,angiospermous,of or related to or characteristic of plants that are angiosperms,,مُتَعَلَق ب كاسِياتِ البُذور,ذو علاقة بخصائص النباتات كاسيات البذور ,النباتات المزهرة تعتبر من فصيلة كاسيات البذور
2647112,aqueous,similar to or containing or dissolved in water,aqueous solutions,مَائِيّ,يشبه الماء أو يحتوي عليه أو يذوب فيه,محاليل مائية. ألوان مائية
2647462,"arachnoid, arachnidian, spiderlike, spiderly, spidery",relating to or resembling a member of the class Arachnida,,عَنْكَبُوتِي,خاص بفصيلة العنكبوتيات أو ما يشبهها,الأرملة السوداء من الفصيلة العنكبوتية.
2651154,areal,of or relating to or involving an area,,مَسَاحِي,يخص أو يشمل مساحة معينة,حاولوا حساب المدى المساحي لزلزال المحيط الهندي
2653285,"arthropodal, arthropodan, arthropodous",of or relating to invertebrates of the phylum Arthropoda,,مَفْصِلِي,ما يتعلق باللافقاريات من فصيلة مفصليات الأرجل,الحشرات والعناكب والقشريات تعتبر مفصلية
2664629,avian,pertaining to or characteristic of birds,,طَيْرِيّ,يتعلق بالطيور وخصائصها,سلوك طيْريّ. صنف طيْريّ
2668446,"bacteroidal, bacterioidal, bacterioid, bacteroid",resembling bacteria,,"بكتيري الشكل,جرثومي الشكل",شبيه الشكل بالجرثوم,"""الريزوبيوم"" الموجود في العقيدات الجذرية للبقوليات يعتبر جرثومي الشكل"
2676508,"biological, biologic",pertaining to biology or to life and living things,,"أَحْيَائِي, بَيُولُوجِي",يخص علم الأحياء أو حياة الكائنات الحية والعمليات الطبيعية التي تجري داخلها,عالِم أحيائي. دراسات بيولوجية
2686183,caloric,of or relating to calories in food,comparison of foods on a caloric basis; the caloric content of foods,"حَرَارِي, سُعْرِي",له علاقة بالسعرات الحرارية في الغذاء,المحتوى الحراري في الغذاء. مقارنة الغذاء على أساس سعري
2688440,canine,of or relating to or characteristic of members of the family Canidae,,كَلْبِيّ,خاص بأعضاء فصيلة الكلاب,حاسة الشم الكلبية أقوى منها عند البشر
2691317,carnivorous,relating to or characteristic of carnivores,the lion and other carnivorous animals, لاحِم,يخص آكلات اللحوم,الأسد والنمر والقطط تعتبر حيوانات لاحمة
2696036,cellular,relating to cells,cellular walls; cellular physiology,خَلَوِي,يخص الخلايا الحيوانية أو النباتية,بنية خلوية. نمو خلوي. جدار خلوي
2703361,"chemical, chemic",relating to or used in chemistry,chemical engineer; chemical balance,"كِيْمَاوِي, كِيْميَائِي",يخص الكيمياء أو يستخدم فيها,التوازن الكيميائي للجزيئات. مهندس كيميائي. صناعة كيماوية
2706703,chordate,of or relating to or characteristic of the Chordata,,"حَبْلِي, حَبْلِيَّات",خاص بالحيوانات التي توصف في مرحلة التكون الجنيني بأن لها حبل ظهري وحبل عصبي ظهري ,تشمل الحبليات الفقاريات والزواحف وغيرها
2707532,cinematic,of or pertaining to or characteristic of the cinema,,سِينَمَائِي,يخص السينما وصناعة الأفلام,مشهد سينمائي مؤثر. وجه سينمائي.
2708066,civic,of or relating or belonging to a city,civic center; civic problems,مَدَنِي,يخص مصالح البلدة أو المدينة أو الناس الذين يعيشون فيها,التصويت في الانتخابات واجب مدني. 
2708189,municipal,relating or belonging to or characteristic of a municipality,municipal government; municipal bonds; a municipal park; municipal transportation,"مَحَلَّي, بَلَدِيّ",يخص حكومة مدينة أو بلدة على نطاق محلي محدود, الخدمات البلدية. أصدرت الحكومة المحلية قانوناً يخص الحدائق العامة.
2713392,contractual,relating to or part of a binding legal agreement,contractual obligations,تَعَاقُدِي,يخص الاتفاقات القانونية المكتوبة ومحتواها,هل تخضع لالتزام تعاقدي؟
2718395,culinary,of or relating to or used in cooking,,طَهْوِيّ,يخص الطبخ وما يستخدم فيه,مهاراتي الطهوية عالية جداً. المدرسة الطهوية
2727341,economic,of or relating to the science of economics,economic theory,اِقْتِصَادِي,يخص علم الاقتصاد بما فيه التجارة والصناعة والمال,الوضع الاقتصادي في تحسن مستمر
2728274,electoral,of or relating to elections,electoral process,إِنْتِخَابِي,يخص الانتخابات والتصويت فيها,نتج عن العملية الانتخابية فوز الديمقراطيين
2730131,elemental,relating to or being an element,elemental sulphur,عُنْصُرِيّ,يخص العناصر الكيميائية غير المرتبطة,الكيمياء العنصرية
2753866,horary,relating to the hours,the horary cycle,"كل سَاعَة, سَاعِيّ",يخص ساعة من الساعات الزمنية,الدورة الساعية للعداد
2754015,human,characteristic of humanity,human nature,إِنْسَانِي,يخص البشر والخصائص الإنسانية,وجد علماء الآثار بقايا إنسانية. الطبيعة الإنسانية. 
2754145,human,relating to a person,the experiment was conducted on 6 monkeys and 2 human subjects,"بَشَرِيّ, اِنْسَانِي",يخص شخصاً معيناً,كان الحادث خطأ بشرياً. تمت التجربة على ألف من العينات البشرية
2759407,industrial,of or relating to or resulting from industry,industrial output,صِنَاعِي,يخص الصناعة والمصانع وما ينتج عنها,التطور الصناعي. المدينة الصناعية
2759724,"inferential, illative",relating to or having the nature of illation or inference,the illative faculty of the mind,إِسْتِنْتَاجِي,يعتمد على الاستنتاج الذي يأتي من معلومات موجودة لديك,القدرة الاستنتاجية للعقل
2761255,insular,relating to or characteristic of or situated on an island,insular territories; Hawaii's insular culture,جَزِيرِيّ,يخص الجزيرة أو واقع عليها أو هو شيء من خصائصها,السكان الجزيريون. متعة العطلة الجزيرية في المالديف
2766901,living,pertaining to living persons,within living memory,حَيّ,يخص الناس الأحياء,إنه صورة حية عن أبيه. ذاكرة حية. 
2770888,medical,relating to the study or practice of medicine,the medical profession; a medical student; medical school,طِبِّيّ,يخص الطب ودراسته وممارسته,نصيحة طبية. كتب طبية. فريق طبي
2775023,military,of or relating to the study of the principles of warfare,military law,عَسْكَرِيّ,يخص القوات المسلحة ودراسة مبادئ الحرب,الخدمة العسكرية. ثكنة عسكرية. زي عسكري
2778150,natal,relating to or accompanying birth,natal injuries; natal day; natal influences,وِلَادِي,يخص ولادة الشخص,خلع ولادي. الموطن الولادي. 
2780705,"numeral, numerical, numeric",of or relating to or denoting numbers,a numeral adjective; numerical analysis,عَدَدِيّ,يخص الأعداد والأرقام وطبيعتها ويدل عليها,حساب عددي. رمز عددي. تفوق عددي.
2781440,"olfactory, olfactive",of or relating to olfaction,,شَمَّيّ,ما يخص الشم,القدرة الشمية لدى الكلاب تفوقها لدى البشر بكثير
2793521,positional,of or relating to or determined by position,,مَوْضِعِي,خاص بموقع محدد يكون ثابتاً فيه ومحدود الحركة,لم يقم المدرب بأي تغييرات موضعية للاعبين
2796563,proteinaceous,relating to or of the nature of protein,,برُوتِيْنِي,"يتألف من البروتين أو يحتوي عليه، أو يشبه خصائصه",البقول نباتات بروتينية. البيض طعام بروتيني
2804097,scientific,of or relating to the practice of science,scientific journals,عِلْمي,خاص بالعلم وممارسته واستخدام الطرق المنظمة في العلم,مقال علمي عن الفضاء. نظرية علمية عن الجاذبية
2807248,"sensational, sensory",relating to or concerned in sensation,the sensory cortex; sensory organs,حِسَّي,خاص بالحواس المادية الخمس,الأعضاء الحسية
2812572,sportive,relating to or interested in sports,,رِيَاضِيّ,خاص بالرياضة والاهتمام والاستمتاع بها,إمكانيات رياضية عالية. روح رياضية
2812662,sporting,relating to or used in sports,sporting events; sporting equipment,رِيَاضِيّ,خاص بالرياضة أو مستخدم فيها,معدات رياضية. حذاء رياضي
2815413,suburban,relating to or characteristic of or situated in suburbs,suburban population,"ضَاحِوِيّ, ضَاحِيِي",خاص بالضواحي أو خصائصها أو واقع فيها,إسكان ضاحوي. حياة ضاحوية هادئة. 
2825392,"caloric, thermal, thermic",relating to or associated with heat,thermal movements of molecules; thermal capacity; thermic energy; the caloric effect of sunlight,حَرَارِيّ,خاص بالحرارة أو ناقليتها,استطاعة حرارية. طاقة حرارية. زجاج حراري
2834663,verbal,of or relating to or formed from a verb,verbal adjectives like `running' in `hot and cold running water',فِعْلِي,خاص بالأفعال أو يتألف منها,"الجملة الفعلية تحتوي على فعل. صفة فعلية مثل ""جارٍ"""
2834859,verbal,of or relating to or formed from words in general,verbal ability," لَفْظِي, شَفَهِي",خاص بالكلام والألفاظ أو يتألف منه,اتفاق لفظي. شرح شفهي. اختبار شفهي
2837586,electrical,relating to or concerned with electricity,an electrical engineer; electrical and mechanical engineering industries,كَهْرَبَائِي,خاص بالكهرباء والتيار الكهربائي وما تستخدم فيه الكهرباء,أجهزة كهربائية. دارة كهربائية
2841386,literary,of or relating to or characteristic of literature,literary criticism,أَدَبِيّ,متعلق بالأدب وخصائصه وأسلوبه,مقال أدبي. نقد أدبي. الشعر والنثر والتعبير الأدبي
2842864,"amphibious, amphibian",relating to or characteristic of animals of the class Amphibia,,بَرْمَائِيّ,متعلق بالحيوانات أو خصائصها من فصيلة البرمائيات,الحيوان البرمائي يمكنه العيش على اليابسة وفي الماء في نفس الوقت
2843049,insectan,of or relating to the class Insecta,,حَشَرِيّ,متعلق بفصيلة الحشرات وخصائصها,الطائفة الحشرية من شعبة مفصليات الأرجل
2843157,mammalian,of or relating to the class Mammalia,,ثَدْيِيّ,متعلق بطائفة الثدييات التي تلد وترضع صغارها,البشر كائنات ثديية
2843267,piscine,of or relating to fish,,سَمَكِيّ,متعلق بالسمك وخصائصه أو يشبهه,الثروة السمكية. كائنات بحرية سمكية
2843343,reptilian,of or relating to the class Reptilia,,"زَاحِفِي, زَاحِف",متعلق بطائفة الزواحف أو يشبهها,جلد زاحفي. حركة زاحفية.
2843471,algal,of or relating to alga,,طُحْلُبِيّ,متعلق بالطحالب أو يشبهها,تزيد المغذيات في الصرف الصحي من النمو الطحلبي في الميناء
2843563,"fungal, fungous",of or relating to fungi,,فُطْرِيّ,متعلق بالفطر وخصائصه,عدوى فطرية في القدم الرياضية. مرض جلدي فطري
2844120,plantal,of or relating to plants,,نَبَاتِيّ,متعلق بالنبات وخصائصه أو يشبهه,التنوع النباتي
2844429,bacterial,relating to or caused by bacteria,bacterial infection,"بَكْتِيرِيّ, جُرْثُومِيّ",متعلق بالجراثيم أو هي التي تسببه, عدوى بكتيرية.  تعالج العدوى الجرثومية بالصادات الحيوية.
2847511,radial,issuing in rays from a common center; relating to rays of light,radial heat,إِشْعَاعِيّ,"صادر بشكل أشعة من مركز واحد، متعلق بأشعة الضوء",حرارة إشعاعية. السرعة الإشعاعية
2850580,professional,of or relating to or suitable as a profession,professional organizations; a professional field such as law,مِهَنِي,متعلق بالمهنة وما يناسبها وتحتاج تدريباً وتعليماً خاصاً ,مؤسسات مهنية. مجال مهني كالترجمة 
2851951,"spatial, spacial",pertaining to or involving or having the nature of space,the first dimension to concentrate on is the spatial one; spatial ability; spatial awareness; the spatial distribution of the population,مكاني,متعلق أو يتضمن طبيعة الفراغ أو المكان ,التوزيع المكاني للسكان. الإدراك المكاني. اختبار القدرة المكانية
2853330,"linguistic, lingual",consisting of or related to language,linguistic behavior; a linguistic atlas; lingual diversity, لُغَوِيّ,متعلق باللغة التي يتحدث بها لسان البشر أو يتألف منها,التطور اللغوي للطفل. التحليل اللغوي للجمل. 
2857812,dominical,of or relating to Sunday as the Lord's Day,,مُتَعَلِّق بِيَوْم الأحَد,متعلق بيوم الأحد كونه يوم الإله,هناك عبادات خاصة في الديانة المسيحية متعلقة بيوم الأحد
2858779,"financial, fiscal",involving financial matters,fiscal responsibility,مَالِيّ,متعلق بالأمور المالية,مستشار مالي. قضايا مالية. صعوبات مالية
2868496,political,of or relating to your views about social relationships involving authority or power,political opinions,سِيَاسِيّ,متعلق بآرائك حول العلاقات الاجتماعية التي تخص السلطة والحكم,آراء سياسية. محلل سياسي
2872008,parturient,of or relating to or giving birth,parturient pangs; the parturient uterus, وِلادِي, متعلق بالولادة ,الآلام الولادية. 
2873726,nuclear,of or relating to or constituting the nucleus of an atom,nuclear physics; nuclear fission; nuclear forces,"ذَرِّيّ, نَوَوِيّ","متعلق بنواة الذرة أو يشكلها، والطاقة التي تنتج عنها ","الانشطار الذري. الفيزياء النووية،  السلاح النووي"
2876454,metropolitan,relating to or characteristic of a metropolis,metropolitan area,"حَضَرِيّ ,عاصميّ",متعلق بالمدينة الكبرى أو العاصمة أو بخصائصها أو واقع فيها,منطقة حضرية. المطعم هو الأكبر ضمن المطاعم العاصمية في المنطقة
2879065,musical,characterized by or capable of producing music,a musical evening; musical instruments,مُوسِيقِيّ,متعلق بالموسيقى وصفاتها أو قادر على إصدارها,آلات موسيقية. أذن موسيقية
2879986,"auditory, auditive, audile",of or relating to the process of hearing,auditory processing; an audile person,سَمْعِيّ,متعلق بعملية السمع ,الوظيفة السمعية للأذن. المناطق السمعية في الدماغ
2880198,"gustatorial, gustatory, gustative",of or relating to gustation,,ذَوْقِي,متعلق بحاسة التذوق,الوظيفة الذوقية للسان
2880379,"tactile, haptic, tactual",of or relating to or proceeding from the sense of touch,haptic data; a tactile reflex, لَمْسِيّ,متعلق بحاسة اللمس,شاشة لمسية حساسة. تقنية رد الفعل اللمسي
2880845,"visual, optical, ocular, optic",relating to or using sight,ocular inspection; an optical illusion; visual powers; visual navigation, بَصَرِي,متعلق بالنظر ووظيفة العين,قوة بصرية. مؤثرات بصرية
2891505,viral,relating to or caused by a virus,viral infection,فَيْرُوسِي,متعلق بالفيروسات أو حاصل بسببها,لا تُعالج العدوى الفيروسية بالصادات الحيوية
2893192,feline,of or relating to cats,feline fur," هِرَّيّ,مُتَعَلِّق بالقِطَط",متعلق بالقطط أو شكلها أو سلوكها أو خصائصها,أمراض متعلقة بالقطط. فراء ناعم هرّي
2893874,muscular,of or relating to or consisting of muscle,muscular contraction,عَضَلِيّ,متعلق بالعضلات أو يتألف منها,التشنج العضلي. البناء العضلي
2895389,parental,designating the generation of organisms from which hybrid offspring are produced,,أَبَوِيّ,المحدِّد لإنتاج الكائنات الحية حيث ينتج عنه النسل الهجين,جدان أبويان. جينات أبوية
2895923,atomic,of or relating to or comprising atoms,atomic structure; atomic hydrogen,ذَرِّيّ,متعلق بالذرات أو يشكلها أو بالطاقة الناتجة عن انشطارها,بنية ذرية. طاقة ذرية. أسلحة ذرية
2896496,subatomic,of or relating to constituents of the atom or forces within the atom,subatomic particles; harnessing subatomic energy,دُونَ الذّرِّيّ,متعلق بمكونات الذرة الأصغر أو بالقوى داخلها,"الالكترونات، البروتونات، والنيوترونات هي عناصر دون ذرية"
2896833,clinical,relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients,clinical observation; clinical case study,سَرِيرِيّ,متعلق بالعيادة أو يتم إجراؤه في العيادة ويعتمد على المراقبة المباشرة للمرضى,دراسات سريرية للحالات. فحص سريري
2897394,continental,of or relating to or characteristic of a continent,the continental divide; continental drift,قَارِّيّ,متعلق بقارة ما أو بخصائصها,المياه القارية. المناخ القاري
2897933,lexical,of or relating to words,lexical decision task, مُعْجَمِيّ,متعلق بالمفردات والكلمات,هناك تشابه معجمي بين اللغتين.
2898882,sexual,of or relating to or characterized by sexuality,sexual orientation; sexual distinctions,جِنْسِيّ,متعلق بجنس الفرد كونه ذكراً أم أنثى,فروقات جنسية. ميول جنسية
2902696,zoological,of or relating to animals or animal groups,zoological garden,حَيَوَانِي,متعلق بالحيوانات ومجموعاتها ودراستها علمياً,تصنيف حيواني. عينة حيوانية
2905843,occupational,of or relating to the activity or business for which you are trained,occupational hazard,مِهْنِيّ, متعلق بالمهنة التي تعمل فيها,تدريب مهني. الأمان المهني. إصابة مهنية
2909528,"organisational, organizational",of or relating to an organization,organizational structure,"مُؤسَّسِيّ ,تنظيمي",متعلق بالمؤسسة أو التنظيم,البنية المؤسسية. الأهداف التنظيمية.  المهارات التنظيمية
2910002,mental,of or relating to the mind,mental powers; mental development; mental hygiene,"ذِهْنِيّ, عَقْلِيّ",متعلق بالعقل والعمليات الفكرية والعاطفية,التطور الذهني. الصحة العقلية.  تمارين ذهنية
2911333,molar,containing one mole of a substance,molar weight,كُتْلٍي,يحوي جزيء واحد من المادة,غرام كتلي
2911952,molecular,relating to or produced by or consisting of molecules,molecular structure; molecular oxygen; molecular weight is the sum of all the atoms in a molecule,جُزَيْئي,"متعلق بجزيئات المادة ( أبسط مكوناتها)، أو ينتج عنها أو يتألف منها",الوزن الجزيئي. البنية الجزيئية.
2915381,administrative,of or relating to or responsible for administration,,إِدَارِيّ,متعلق بترتيبات العمل الضرورية ومسؤولية الإدارة لتسيير لخطة أو مؤسسة,دعم إداري . مسؤوليات إدارية
2915529,managerial,of or relating to the function or responsibility or activity of management,,إِدَارِيّ,خاص بوظيفة المدير ومسؤولياته الإدارية,قرار إداري. منصب إداري.
2918313,theological,of or relating to or concerning theology,theological seminar,لاهُوتِيّ,متعلق بدراسة الدين والمعتقدات الدينية,الكلية اللاهوتية. طالب علم لاهوتي
