PWN Id,English lemmas,English gloss,English examples,Arabic lemmas or Gap,Arabic gloss,Arabic exampes
980581,"enunciate, articulate, say, pronounce, enounce, sound out","speak, pronounce, or utter in a certain way",She pronounces French words in a funny way; I cannot say `zip wire'; Can the child sound out this complicated word?,"لَفَظَ, نَطَقَ",يتكلم الكلمات بطريقة معينة,يصعب على الطفل الصغير لفظ الكثير من الكلمات. إنه ينطق بعض الحروف بشكل غريب
981902,say,utter aloud,She said `Hello' to everyone in the office,قَالَ,يقول شيئاً بصوت عالٍ,"سَلّمَ بقوله "" مرحباً "" لجميع الموجودين"
983576,"stammer, bumble, stutter, falter",speak haltingly,The speaker faltered when he saw his opponent enter the room," تَلَعْثَمَ, تأتأ","يتحدث بصعوبة مع توقفات غير معتادة وأصوات متكررة، إما بسبب مشاكل في الكلام أو بسبب الخوف والعصبية",إنه يتلعثم عندما يكون متوتراً. إنه يتأتئ ويحتاج إلى معالج للنطق
984546,inflect,change the form of a word in accordance as required by the grammatical rules of the language,,صرف,يغيّر شكل الكلمة بالشكل المناسب حتى تتوافق مع القواعد النحوية للغة,يتم تصريف بعض الكلمات في اللغة بحسب الزمن 
985856,"utter, let out, let loose, emit",express audibly; utter sounds (not necessarily words),She let out a big heavy sigh; He uttered strange sounds that nobody could understand,"نَطَقَ, أصدر, تَلَفَّظَ","يعبر بإصدار صوت، ( ليس بالضرورة أن يكون كلمات )",نطق بكلام غير مفهوم. أصدرت تنهيدة عميقة
989103,"draw, describe, depict",give a description of,He drew an elaborate plan of attack,"رَسَمَ, وَصَفَ",يعطي وصفاً لشيء بالتفصيل,رسم الطريق الذي سيسلكه للوصول. وصف لهم خطة الهجوم
990060,represent,serve as a means of expressing something,The flower represents a young girl,"مَثَّلَ, نَابَ عَن",يكون وسيلة للتعبير عن شيء أو ينوب مكانه,يمثل هذا الرقم عشرة بالمئة من مبيعات الشركة. مثلت ملكة الجمال بلادها في المسابقة
991233,"address, speak",give a speech to,The chairman addressed the board of trustees,خَاطَب,يوجه الكلام إلى أشخاص محددين,تحدث المدير إلى موظفيه. خاطب الرئيس شعبه
992687,"accost, come up to, address",speak to someone,,فَاتَحَ,يقترب من شخص ويتحدث معه,اقتربت من صديقتها لتبادرها بحديث سريّ .اقترب مني وفاتحني بموضوع إقراضه النقود. 
993417,"enlighten, edify",make understand,Can you enlighten me--I don't understand this proposal,"ثَقَّفَ, نَوَّرَ",يجعله يفهم أمراً كان مجهولاً بالنسبة له, علينا أن نثقف أبناءنا أخلاقياً. أريدك أن تُنوّرني بخصوص هذه النظرية من فضلك
994073,"motion, gesticulate, gesture","show, express or direct through movement",He gestured his desire to leave,أوْمَأ,يبدي بعض الحركات تعبيراً عن شيء,أومأ بموافقته على الطلب. أومأت لابنها بأن يلحق بها
995046,write,communicate or express by writing,Please write to me every week,كَتَبَ,يتواصل مع الناس أو يعبر عن أفكاره من خلال الكتابة ,إنها تكتب مذكراتها يومياً
996121,"cypher, encode, cipher, write in code, encrypt, inscribe, code, encipher",convert ordinary language into code,We should encode the message for security reasons,"شَفَّرَ, رَمَّزَ",يحوّل اللغة العادية إلى رموز يمكن فكها بتقنية معينة من أجل حماية المعلومات,علينا تشفير الرسالة لأسباب أمنية. يقوم الحاسوب بترميز المعلومات وتخزينها لاستخدامها في المستقبل
999839,"endorse, indorse",sign as evidence of legal transfer,endorse cheques,GAP,يوقع كدليل على نقل قانوني,صادق على الشيكات. وقّع أوامر الصرف
1001860,"erase, delete",wipe out magnetically recorded information,,حَذَفَ,يزيل المعلومات المسجلة مغناطيسياً,حذف جميع البيانات الزائدة من حاسوبه
1002259,"record, put down, enter",make a record of; set down in permanent form,,"قَيَّدَ, سَجَّلَ",يحتفظ بسجل مكتوب أو صور وما شابه بشكل دائم بحيث يمكن الرجوع إليه عند الحاجة, قمت بتقييد حسابات الشركة في ملف واحد. سجلت مقاطع الفيديو على بطاقة الذاكرة
1003339,"exposit, expound, set forth",state,set forth one's reasons,"شَرَحَ, بَيَّنَ",يعطي أو يذكر تفسيراً مفصلاً لشيء ما,هنا تشرح الصحفية آراءها حول القضية البيئية. بيّن أسباب تأخيره
1004785,"film, take, shoot",make a film or photograph of something,take a scene; shoot a movie,صَوَّرَ,يصنع فيلماً أو يقوم بتصوير صور فوتوغرافية أو مقاطع فيديو,صوّرت حفل الزفاف
1005294,"photograph, snap, shoot",record on photographic film,I photographed the scene of the accident; She snapped a picture of the President,GAP,يلتقط صوراً ويسجلها على شريط فوتوغرافي,أخذنا لقطات جميلة على الشاطئ. صوّرتُ أصدقائي عدة صور فوتوغرافية
1008855,correspond,exchange messages,My Russian pen pal and I have been corresponding for several years,تَرَاسَلَ,تبادل الرسائل مع شخص أو مجموعة, كانا يتراسلان يومياً
1009072,"write, drop a line",communicate (with) in writing,"Write her soon, please!",كَاتَبَ,التواصل مع الأشخاص بطريقة الكتابة,أرجو أن تكاتبني عبر الإيميل
1011267,"tell, state, say",express in words,He said that he wanted to marry her; tell me what is bothering you; state your opinion; state your name,"قَالَ, صَرَّحَ",يعبّر بالكلام,قالت بأنها ذاهبة للتسوق. صرّح بنيته السفر قريباً. أخبرني ما الذي يزعجك
1011848,say,state as one's opinion or judgement; declare,I say let's forget this whole business,  قال ,يقول رأيه أو حكمه,أقول إننا يجب أن نغير المطعم.
1012145,declare,state emphatically and authoritatively,He declared that he needed more money to carry out the task he was charged with,"أَعْلَنَ, صَرَّحَ",يذكر بشكل قاطع وواثق,أعلن القاضي أن المتهم بريء. صرح الوزير أنه سيقدم استقالته
1013058,"assert, swear, swan, verify, aver, avow, affirm",to declare or affirm solemnly and formally as true,Before God I swear I am innocent,حَلَفَ,يعلن ويؤكد رسمياً وبشدة بأنه يقول الحقيقة,أحلف بأني أخبرتك بكل ما أعرفه
1013752,affirm,say yes to,,وَافَقَ,يدعم ويؤيد إيجاباً,وافق الجميع على القرار الجديد
1014100,"confirm, reassert",strengthen or make more firm,The witnesses confirmed the victim's account,أَكَّدَ,يجعله أكثر قوة بإعادته مجدداً والتأكيد عليه,أتصل بك لأؤكد حجزك الفندقي
1015049,"swear, depose, depone",make a deposition; declare under oath,,"أقْسَمَ, حَلَفَ","يشهد أو يؤكد تحت القسم، في بيان مكتوب",أقسم أمام القاضي أنه رأى القاتل في مكان الجريمة. حلف الشاهد أن يقول الحقيقة
1015376,"accent, accentuate, stress, emphasize, punctuate, emphasise","to stress, single out as important",Dr. Jones emphasizes exercise in addition to a change in diet,"شَدَّدَ, أَكَّدَ",يؤكد على شيء ويحدده بكونه مهماً ويستحق الانتباه له,شدّد على وجوب مشاركة الجميع. أؤكد على أهمية تعلم اللغات الأجنبية
1016830,"bear witness, testify, attest, take the stand",give testimony in a court of law,,شَهِدَ,يُدلي بالشهادة في محكمة قانونية,"رغم علمها أنه مذنب، لم تشأ أن تشهد ضده"
1017253,"testify, prove, evidence, show, bear witness",provide evidence for,The blood test showed that he was the father; Her behavior testified to her incompetence,"بَرْهَنَ, أَثْبَتَ",يعطي دليلاً على شيء,برهن فحص الحمض النووي أنه هو الوالد الحقيقي. أثبت أن ادعاءاته صحيحة..
1018011,"allege, aver, say",report or maintain,He alleged that he was the victim of a crime; He said it was too late to intervene in the war; The registrar says that I owe the school money,زَعَمَ,يؤكد شيئاً دون دليل,زعم أنها سرقت مبلغاً كبيراً خلال عملها
1018787,"assert, asseverate, maintain",state categorically,,أَكَّدَ,يؤكد ويصرّح بشكل جازم ورسمي,طالما أكد على الحاجة إلى بلاد موحدة وعادلة
1019835,"demand, exact",claim as due or just,The bank demanded payment of the loan,"طَالَبَ, طَلَبَ",يدّعي بأنه حق أو عدل ويطلبه,طالب الناس بإلغاء الضرائب. طلبت الموظفة إجازة مرَضية
1020361,claim,"ask for legally or make a legal claim to, as of debts, for example",They claimed on the maximum allowable amount,طَالَبَ,"يُطالب قانونياً بشيء، كما الديون",يطالب بتعويضات عن الضرر الذي تسبب به العمل
1020937,"condition, qualify, stipulate, specify",specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement,The will stipulates that she can live in the house for the rest of her life; The contract stipulates the dates of the payments,"نَصَّ, اِشْتَرَطَ",يحدده كشرط أو مطلب في عقد أو اتفاق,ينص العقد على وجود مهلة ثلاثة أشهر. اشترط عليه ضماناً كي يقرضه المال
1022014,"observe, remark, note, mention",make mention of,She observed that his presentation took up too much time; They noted that it was a fine day to go sailing,عَلَّقَ,يبدي ملاحظة حول شيء معين,علّقتُ على صغر خطه. أبدى ملاحظاته حول المنتج الجديد
1022365,"put down, get down, write down, set down","put down in writing; of texts, musical compositions, etc.",,"كَتَبَ, دَوَّنَ",يسجّل بطريقة الكتابة على الورق النصوص والمؤلفات الموسيقية الخ ليحتفظ بها,إذا لم أكتب فسوف أنسى. سأدون القائمة لديّ
1022740,"fill in, make out, complete, fill out",write all the required information onto a form,"fill out this questionnaire, please!; make out a form",مَلأَ,يكتب جميع المعلومات المطلوبة في استمارة ما,املأ الاستبيان من فضلك
1022943,"note, take down",make a written note of,she noted everything the teacher said that morning,"كَتَبَ, دَوَّنَ",يسجل ملاحظة مكتوبة عن شيء,كتبتُ كل ما قالته المعلمة. سأدون الملاحظات على الهامش
1023638,"arrange, fix up",make arrangements for,Can you arrange a meeting with the President?,"أعَدَّ, نَظَّمَ, رَتَّبَ",يُجهّز لحدث أو أمر,أعددتُ لاحتفال كبير. نظّم المهرجان نخبة من المختصين. يرجى ترتيب اجتماع عاجل مع الموظفين
1025268,"quote, cite",repeat a passage from,He quoted the Bible to her,"اقْتَبَسَ, اسْتَشْهَدَ",يكرر نصاً أو مقولة من كتاب أو مؤلف ويستشهد به لإثبات كلامه,اقتبس بعض الأبيات الشعرية من القصيدة. استشهد بمقولة لشكسبير
1025934,quote,name the price of,quote prices for cars,سَعَّرَ,يحدد أسعار البضائع والسلع,تم تسعير الكتاب بدولار واحد
1026199,"name, refer, bring up, mention, cite, advert",make reference to,His name was mentioned in connection with the invention,ذَكَرَ,يدل إلى أحد أو شيء,تم التنويه إليه كأفضل مرشح. لم يُشر التقرير إلى سقوط ضحايا. تم ذكر اسمه في المقال
1027255,"bring up, raise",put forward for consideration or discussion,raise the question of promotions; bring up an unpleasant topic,طَرَحَ,يعرض أو يثير أمراً للنظر فيه أو مناقشته,ليس من المناسب أن نطرح مواضيع سياسية مع العائلة
1029183,"add, append, supply",state or say further,"`It doesn't matter,' he supplied",أضَافَ,يضيف إلى كلامه,أضاف المؤلف ملاحظة على الهامش ليشرح هذه النقطة
1029517,decree,issue a decree,The King only can decree,GAP,يتخذ قراراً رسمياً أو يصدر بياناً,الرئيس هو الوحيد الذي يمكن أن يصدر المراسيم
1030088,"christen, baptize, baptise",administer baptism to,The parents had the child baptized,عَمَّدَ,يجعله رسمياً عضواً في الكنيسة المسيحية في خدمة المعمودية,قام الوالدان بتعميد طفلهما عند الكاهن
1030757,"name, call",assign a specified (usually proper) proper name to,They named their son David; The new school was named after the famous Civil Rights leader,سَمَّى,يخصص اسماً معيناً (مناسب عادة ) لشخص أو شيء,سمّيا طفلتهما جولي. سمّى مطعمه باسم ابنه
1031675,term,name formally or designate with a term,,اِصْطَلَحَ,يعطي اسماً أو وصفاً بتعبير  معين بشكل رسمي ,اصطُلح على تسمية الحرب بالكابوس الإنساني
1031885,label,assign a label to; designate with a label,These students were labelled `learning disabled',وَسَمَ,يخصص تصنيفاً أو علامة معينة لشيء ما,تم وسم الخراف من حيث وزنها
1032165,"denominate, designate",assign a name or title to,,سَمَّى,يخصص اسماً أو وصفاً لشيء,سُمِّي الوزراء الجدد لدى الحكومة
1033289,"mail, send, post",cause to be directed or transmitted to another place,send me your latest results; I'll mail you the paper when it's written,"بَعَثَ, أَرْسَلَ",يجعل الشيء يتوجه أو ينتقل إلى مكان آخر ,ابعث لي تأكيداً باستلامك. سأرسل لك تقريراً بالنتائج. 
995046,write,communicate by letter,He wrote that he would be coming soon,كَتَبَ,يقوم بالتواصل عن طريق الرسائل المكتوبة,كتب رسالة مفصّلة بكل ما جرى
1035399,"handle, deal, address, cover, treat, plow",deal with verbally or in some form of artistic expression,This book deals with incest; The course covered all of Western Civilization; The new book treats the history of China,عَالَجَ,يتناول موضوعاً ما شفهياً أو بصيغة فنية,تعالج المحاضرة موضوعاً خاصاً بالأطفال. يعالج الكتاب تاريخ بريطانيا القديم
1036184,"discourse, talk about, discuss",to consider or examine in speech or writing,The article covered all the different aspects of this question; The class discussed Dante's `Inferno',نَاقَشَ,يتحدث رسمياً ويعالج أمراً ما سواء بالكلام أو بالكتابة,ناقشت المقالة جميع جوانب الموضوع
1037402,agree,"achieve harmony of opinion, feeling, or purpose",No two of my colleagues would agree on whom to elect chairman,اِتَّفّقّ,يحقق الانسجام في الآراء والمشاعر والأهداف,اتفق التلاميذ أنها معلمة بارعة. أتفق معك أنها رحلة متعبة
1038676,"prattle, gibber, chatter, maunder, blab, tittle-tattle, blabber, clack, palaver, twaddle, prate, tattle, gabble, piffle",speak (about unimportant matters) rapidly and incessantly,,ثَرْثَرَ,يتحدث بسخافة عن أشياء غير مهمة بطريقة عشوائية ودون توقف,لن أضيع وقتي وأنا أسمعه يثرثر
1040538,"chew the fat, jaw, shoot the breeze, gossip, confab, chatter, natter, claver, chitchat, chat, confabulate, chaffer, visit",talk socially without exchanging too much information,the men were sitting in the cafe and shooting the breeze,"دَرْدَشَ, تَحَادَثَ",يتحدث أحاديث بسيطة مع الناس بطريقة ودودة وغير رسمية بهدف التسلية وليس لتبادل المعلومات,جلسنا أنا وصديقاتي ندردش ونشرب القهوة. لنجلس ونتحادث سوياً
1042933,"dummy up, shut up, clam up, button up, be quiet, close up, belt up, keep mum",refuse to talk or stop talking; fall silent,The children shut up when their father approached,"سَكَتَ, صَمَتَ",يرفض الكلام أو يتوقف عن الكلام ويصمت,سكت التلاميذ لدى دخول معلمهم. صمت الجميع ليستمعوا إلى الخطاب. 
1043287,"beckon, wave",signal with the hands or nod,She waved to her friends; He waved his hand hospitably,لَوَّحَ,يحرك يده أو يومئ برأسه,لوّح بيده مودّعاً أصدقاءه. 
1045103,grunt,"issue a grunting, low, animal-like noise",He grunted his reluctant approval,نَخَرَ,يصدر صوتاً مزعجاً قصيراً منخفضاً كصوت الحيوان بسبب الغضب أو الدهشة أو الألم الخ,نخر وهو يشتمه بكلام سيء
1045759,"whistle, sing","make a whining, ringing, or whistling sound",the kettle was singing; the bullet sang past his ear,صَفَّرَ,يصدر صوت أنين أو رنين أو صفير,عندما يغلي الإبريق فإنه يصفّر. صفّرت الرياح بشدة
1045986,murmur,speak softly or indistinctly,She murmured softly to the baby in her arms,تَمْتَمَ,يتحدث بهدوء شديد وصوت منخفض,تمتمت بضع كلمات في أذن طفلها
1046405,"mumble, mutter, maunder, mussitate",talk indistinctly; usually in a low voice,,"هَمْهَمَ, تَمْتَمَ",يتحدث بصوت منخفض وبشكل غير مفهوم,همهمت أثناء عملها تذمراً بسبب التعب. جلس هناك يهز رأسه ويتمتم في نفسه
1047931,"roar, howl","make a loud noise, as of wind, water, or vehicles",The wind was howling in the trees; The water roared down the chute,"هَدَرَ, جَعْجَعَ","يصدر صوتاً عالياً كما في الرياح، الماء، أو المركبات",هدرت المركبات المزدحمة في الطريق. تجعجع المطحنة أثناء طحن القمح. 
1049617,bark,make barking sounds,The dogs barked at the stranger,نَبَحَ,يصدر صوت عواء,عوت الذئاب في الغابة
1050441,"bawl, bellow",shout loudly and without restraint,,"صَاحَ, زَعَقَ",يصرخ بصوت عالٍ جداً,بدأ يصيح عندما أخدتْ لعبته. زعقت في وجهه بصوت عال
1052768,"quaver, warble, trill","sing or play with trills, alternating with the half note above or below",,"تَهَدَّجَ, غَرَّدَ",يغني أو يعزف بإيقاعات متعاقبة الارتجافات اللحنية ( صاعدة ونازلة ),كان يتهدج بالغناء أثناء سيره في الغابة. غرّد الكناري طول اليوم.
1053828,"rave, mouth off, spout, rabbit on, rant, jabber","talk in a noisy, excited, or declamatory manner",,زَمْجَرَ,يتحدث بطريقة صاخبة وحادة ,انهالت عليه بالكلام عندما رأت غرفته الفوضوية. زمجر على الناس بكلام فارغ وما زال الأغبياء يصدقونه
1057701,hum,sing with closed lips,She hummed a melody,هَمْهَمَ,يغني بإصدار لحن دون كلام بشفاهٍ مغلقة وبصوت منخفض,كانت تهمهم بلحن لطيف أثناء سقي النبات صباحاً
1060096,"scraunch, crunch, crackle, scranch",make crunching noises,his shoes were crunching on the gravel,"سَحَقَ, خَشْخَشَ",يصدر صوت ضوضاء أو تكسّر ناتج عن ضغط أو سحق الأشياء القاسية سوياً ,انسحقت الأوراق اليابسة تحت أقدامنا. تخشخش الحصى أثناء الدعس عليها
1060446,"notice, remark, comment, point out",make or write a comment on,he commented the paper of his colleague,عَلَّقَ,يبدي أو يكتب تعليقاً على شيء,علّقت على فستان صديقتها بأنه جميل. يعلّق على منشور 
1061436,"disregard, snub, cut, ignore",refuse to acknowledge,She cut him dead at the meeting, تجاهل ,يهين الشخص باعتباره غير مهم أو غير موجود ويعامله بجفاء,يدهشني أنها تتجاهل تماماً رأي أي شخص آخر
1061615,"neigh, whicker, nicker, whinny","make a characteristic sound, of a horse",,صَهَلَ,"يصدر صوتاً طويلاً عالياً يدل على حماس أو خوف، وهو خاص بالحصان",صهل الحصان الأبيض بهدوء وركض
1062366,"give, pay","convey, as of a compliment, regards, attention, etc.; bestow",Don't pay him any mind; give the orders; Give him my best regards; pay attention,"أَعْطَى،  قدّم ","يقدم شيئاً إيجابياً لشخص، كالمدح والاهتمام والتحيات الخ",لا تعطه أي أهمية. قدّم له تحياتي من فضلك
1062889,"carry, convey, express",serve as a means for expressing something,The painting of Mary carries motherly love; His voice carried a lot af anger,"عَبَّرَ, حَمَلَ",يكون وسيلة للتعبير عن شيء,تعبّر رسوم الأطفال أحياناً عما يشعرون به .نظرة عينها حملت الكثير من البهجة لرؤيته. 
1063503,"express, state","indicate through a symbol, formula, etc.",Can you express this distance in kilometers?,"صَاغَ, عَبَّرَ",يدل على شيء باستخدام رمز أو صيغة,يتم التعبير عن المسافة بالمتر والكيلومتر. تتم صياغة الكميات هنا بالغرامات
1064417,"set, mark",establish as the highest level or best performance,set a record,"حَقَّقَ, سَجَّلَ",يصل إلى المستوى الأعلى أو الأداء الأفضل,حقّق رقماً قياسياً في سباق العدو. سجّل أفضل أداء لهذا العام
1065071,issue,bring out an official document (such as a warrant),,أصْدَرَ,يُطلق وثيقة رسمية ( كمذكّرة ),أصدر أمس بياناً ينفي فيه تلك المزاعم
1065210,provide,"determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation",The will provides that each child should receive half of the money; The Constitution provides for the right to free speech,إشْتَرَطَ,يشترط وجوب حدوث شيء ما أو القيام به ( بموجب عقد أو قانون ),يشترط العقد وجوب دفع الأجرة مقدماً عن ستة أشهر
1065717,"invite, call for",request the participation or presence of,The organizers invite submissions of papers for the conference,دَعَا,يطالب بمشاركة الشخص  أو حضوره,ندعوكم للمشاركة في المؤتمر السنوي
1065952,share,communicate,I'd like to share this idea with you,شَارَكَ,يخبر شخصاً آخر بأفكاره ومشاعره وما إلى ذلك,من الجيد أن يكون لديك من تشاركه مشاكلك
1068455,"confront, face, present","present somebody with something, usually to accuse or criticize",We confronted him with the evidence; He was faced with all the evidence and could no longer deny his actions; An enormous dilemma faces us,وَاجَهَ,أن تواجه شخصاً بشيء ما لاتهامه أو لانتقاده,سأواجهه بسبب الأضرار التي ألحقها بالسيارة. يجب أن يواجها بعضهما إذا أرادا إنهاء المشكلة
1070402,"traverse, deny",deny formally (an allegation of fact by the opposing party) in a legal suit,,"نَفَى, إِعْتَرَضَ, أَنْكَرَ",ينكر الادعاءات رسمياً ويعترض عليها كما في المرافعات,نفى التهم الموجهة إليه. اعترض على كل ما قالته جهة الادعاء. أنكر تهمة القتل
1074673,"compete, vie, contend",compete for something; engage in a contest; measure oneself against others,,نَافَسَ,يتنافس مع الآخرين لتحقيق أو الحصول على شيء,تتنافس العديد من الشركات للحصول على عقد بناء الفندق الجديد. يتنافس ستة مرشحين للحصول على المنصب الجديد
1075360,play,participate in games or sport,We played hockey all afternoon; play cards; Pele played for the Brazilian teams in many important matches,لَعِبَ,يشارك في الألعاب والرياضة,أحب لعب الورق. لعبنا ضدهم في كرة القدم
1079008,"move, go",have a turn; make one's move in a game,Can I go now?,لَعِبَ,يكون دوره في اللعب فينطلق أو يتحرك ,"لتلعب الآن، إنه دورك. "
1081176,"confront, face","oppose, as in hostility or a competition",You must confront your opponent; Jackson faced Smith in the boxing ring; The two enemies finally confronted each other,"وَاجَهَ, جَابَهَ, تَحَدَّى",يعترض كما لو كان معادياً لشخص أو في منافسة,عليّ مواجهة خصمي. جابه الجيش العدو. سأتحداك في النزال
1081565,"breast, front",confront bodily,breast the storm,"وَاجَهَ, صَارَعَ, جَابَهَ", يواجه بجسده وبجرأة,تواجه السفينة الأمواج المضطربة. يصارع خصمه في رياضة الملاكمة. يجابه العدو في الحرب
1081873,"meet, encounter, take on, play","contend against an opponent in a sport, game, or battle",Princeton plays Yale this weekend; Charlie likes to play Mary,وَاجَهَ,يواجه أو يتنافس مع  خصم في رياضة أو لعبة أو معركة,سأواجهك الليلة في لعبة الشطرنج. 
1083545,"oppose, match, pit, play off",set into opposition or rivalry,let them match their best athletes against ours; pit a chess player against the Russian champion; He plays his two children off against each other,بَارَى,يجعل اثنين خصمان لبعضهما في لعبة أو تحدٍّ,بارى ولديه ضد بعضهما في سباق الركض. 
1084847,catch,be the catcher,Who is catching?,"مَسَكَ, أَمْسَكَ",يكون هو الماسك في إحدى الألعاب,من سيمسك كرة البيسبول؟
1084999,"participate, enter",become a participant; be involved in,enter a race; enter an agreement; enter a drug treatment program; enter negotiations,"شَارَكَ, إِنْضَمَّ",يصبح مشاركاً أو جزءاً من لعبة أو اتفاق أو حوار الخ,شارك في كثير من الألعاب. انضم إلى الاتفاق المشترك. 
1085437,"drop by the wayside, chuck up the sponge, throw in, drop out, fall by the wayside, quit, give up, throw in the towel",give up in the face of defeat of lacking hope; admit defeat,"In the second round, the challenger gave up",اِسْتَسْلَمَ,يتراجع في وجه الهزيمة عندما يفقد الأمل بالاستمرار في المواجهة ويعترف بالهزيمة,استسلم اللاعب في الجولة الثانية لأنه تأكد من هزيمته أمام خصمه
1086999,convert,score (a spare),,  سجّل ,يسجل نقطة احتياطية ( كرة القدم الأمريكية),
1089608,"arm, fortify, build up, gird",prepare oneself for a military confrontation,The U.S. is girding for a conflict in the Middle East; troops are building up on the Iraqi border,"عَزَّزَ, اِسْتَعَدَّ",يجهز نفسه عسكرياً من حيث العتاد والسلاح والجيش بحيث يكون مستعداً للمواجهة,عززت قوات الجيش نفسها استعداداً للهجوم. استعد الجيش بكامل قوته لمواجهة العدو.
1090246,"disarm, demilitarize, demilitarise",remove offensive capability from,,GAP,الحرمان من القدرة الهجومية بسحب الجنود والسلاح,حققت الأمم المتحدة تقدماً ملحوظاً في نزع السلاح عن المنطقة. 
1090416,"disarm, unarm",take away the weapons from; render harmless,,GAP,يأخذ الأسلحة ويسحب القدرة الهجومية حتى يصبح أقل أذى,استطاعت الشرطة تجريد المجرم من سلاحه وتقييده
1090603,"demobilize, demobilise, demob",retire from military service,,"سَرَّحَ, تَسَرَّحَ",ينسحب أو يُسحب من الخدمة العسكرية ,تم تسريحه من الخدمة العسكرية بعد خدمته حوالي ستة أعوام
1090792,"mobilise, mobilize",get ready for war,,"اِسْتَنْفَرَ, عَبَّأَ",يجهز نفسه استعداداً للحرب,استنفر الجنود استعداداً للمعركة. تمت التعبئة العامة لتعزيز الجيش استعدادآ للحرب.
1091334,"place, base, send, station, post",assign to a station,,عَيَّنَ,يُرسل الشخص للتمركز في مكان ما ليقوم بعمل معين لفترة محددة,تعيّن بعض الجنود في الريف لينفذوا بعض المهام
1091548,garrison,station (troops) in a fort or garrison,,GAP,يتمركز الجنود في مكان محصن يحمونه ويدافعون عنه,ما زال الجنود يقيمون في حامياتهم المخصصة.
1092746,"fight, contend, struggle",be engaged in a fight; carry on a fight,the tribesmen fought each other; Siblings are always fighting; Militant groups are contending for control of the country, تَعَارَكَ,"يشارك في عراك، أو ينفذ عراكاً",دائماً ما يتعارك الإخوة الصغار. خاض الجنود معركة ضارية
1093838,"fight down, oppose, fight back, defend, fight",fight against or resist strongly,The senator said he would oppose the bill; Don't fight it!,قَاوَمَ,يحارب ضد شيء أو يقاومه بشدة,قاومت رغبتها بتناول الحلويات. قاوم النوم لاضطراره للذهاب للعمل
1094777,"battle, combat",battle or contend against in or as if in a battle,The Kurds are combating Iraqi troops in Northern Iraq; We must combat the prejudices against other races; they battled over the budget,"عَارَكَ, حَارَبَ",يعارك ويحارب ضد شيء أو شخص كما لو كان في معركة,تعاركوا بشدة بخصوص أمور الشركة. تحارب الإخوة بسبب الإرث
1095583,war,make or wage war,,حَارَبَ,ينخرط في نزاع عسكري مسلح,ظلت الدولتان تحاربان بعضهما لفترة طويلة 
1095876,"take arms, take up arms, go to war",commence hostilities,,GAP,يبادر بالعداء ويبتدئ النزاع العسكري,شنوا حرباً على الدولة المجاورة
1096197,"take the field, campaign",go on a campaign; go off to war,,GAP,يبادر بحملة يفجر فيها الحرب,سيقوم الجيش بحملته عند الفجر
1097629,serve,do duty or hold offices; serve in a specific function,He served as head of the department for three years; She served in Congress for two terms,خَدَمَ,"يقدم واجباً أو يشغل منصباً، يخدم في وظيفة خاصة",خدم في منصب إداري مدة عشر سنوات.
1098908,"officiate, function",perform duties attached to a particular office or place or function,His wife officiated as his private secretary,اِشْتَغَلَ,يؤدي واجبات خاصة بمنصب أو مكان أو وظيفة معينة,أدى مهمة الممرض في المشفى. اشتغلت كسكرتيرة
1099442,soldier,serve as a soldier in the military,,تَجَنَّدَ,يخدم في الجيش ,تجند عندما أصبح في الثامنة عشرة
1099603,enlist,join the military,,تَطَوَّعَ,ينضم إلى خدمة الجيش تطوعاً,تطوّع في الجيش لخدمة بلاده
1099720,sign up,"join a club, an activity, etc. with the intention to join or participate",Sign up for yoga classes,GAP,"ينضم إلى نشاط منظم، كنادٍ أو فعالية، بنيّة المشاركة فيه",شارك مع فريق كرة القدم. التحق بصف البيانو. 
1099911,"enlist, draft, muster in",engage somebody to enter the army,,جَنَّدَ,يحشد الجنود ليلتحقوا بالجيش,بدأت حملة لتجنيد الشباب استعداداً للحرب
1100154,"discharge, muster out",release from military service,,سَرَّحَ,يُنهي الخدمة العسكرية لشخص ما,تم تسريح الكثير من الجنود الذين تجاوزت خدمتهم أربعة أعوام
1100371,"mobilise, call up, mobilize, rally",call to arms; of military personnel,,حَشَدَ,يدعو للالتحاق بالجيش,بدأت الدعوة للحشد العام. 
1100863,"levy, raise, recruit",cause to assemble or enlist in the military,raise an army; recruit new soldiers,جَنَّدَ,يقنعه لينخرط أو يتطوع في الجيش,يجنّد المزيد من المتطوعين
1101280,"militarize, militarise","lend a military character to (a country), as by building up a military force",militarize Germany again after the war,GAP,يمنح الصفة العسكرية للبلاد ببناء قوة عسكرية ,زود بلاده بأحدث الأسلحة ووسائل الدفاع
1101801,"demilitarize, demilitarise",do away with the military organization and potential of,,GAP,"يتخلص من التنظيم العسكري وجميع إمكانياته، ويصبح مدنياً",تم إنشاء منطقة مجردة عسكرياً على الحدود بين الدولتين المتحاربتين
1102003,lose,fail to win,We lost the battle but we won the war,خَسِرَ,يفشل ويُهزم في معركة أو نزال أو سباق,خسرنا المعركة اليوم 
1102556,win,be the winner in a contest or competition; be victorious,He won the Gold Medal in skating; Our home team won; Win the game,"فَازَ بـ, كَسِبَ",يكون منتصراً في نزاع أو منافسة ويَهزم الخصم,فاز بالجائزة في سباق العدو. كسب المعركة ضد العدو. 
