Id,English lemmas,English gloss,English examples,Arabic lemmas (by the translator),Arabic gloss,Arabic exampes,Deleted lemmas,New lemmas,Phrase,(Synset after cleaning_cleaned lemmas) or GAP
1122368,rush,attack suddenly,,"هَاجَمَ,[ هَجَمَ]",يهجم فجأة,هاجم الثور المزارع فجأة,  هَجَمَ ,,,هَاجَمَ
1122487,"set on, attack, assail, assault",attack someone physically or emotionally,The mugger assaulted the woman; Nightmares assailed him regularly,"[هَجَمَ], [اٍعْتَدَى], هَاجَم, تَهَجَّمَ",يهجم ويعتدي على أحد بإيذائه جسدياً بالضرب وما شابه أو معنوياً كالانتقاد والشتم والتجريح,هاجموا السياسي بانتقاداتهم المستمرة له. تهجم بعض الرعاع على طفل بريء," هَجَمَ ,  اٍعْتَدَى ",,,"هَاجَم, تَهَجَّمَ"
1124145,"bear down, charge","to make a rush at or sudden attack upon, as in battle",he saw Jess charging at him with a pitchfork,هَجَمَ,"يندفع هاجماً فجأة، كما في معركة",هجم عليه فجأة بالعصا,,,,هَجَمَ
1127799,gas,attack with gas; subject to gas fumes,The despot gassed the rebellious tribes,GAP,"يهجم باستخدام الغاز، يجعله عرضة للدخان",أطلق الأمن الغاز على مجموعة المشاغبين,,,أَطْلَقَ غَازَاً,GAP
1128150,mine,lay mines,The Vietnamese mined Cambodia,"[لَغَمَ],[ بَثَّ أَلْغَام فِي]",يزرع الألغام المتفجرة داخل الأرض,زرع الجيش الألغام في كامل الحقل," لَغَمَ ,  بَثَّ أَلْغَام فِي ",,زَرَعَ أَلْغَام فِي,GAP
1128477,"storm, surprise",attack by storm; attack suddenly,,"اِقْتَحَمَ, [عَصَفَ], [هَاجَ]",يهاجم مكاناً أو مبنىً فجأة أو بالدخول السريع الغاضب,اقتحم الضباط المبنى الذي احتله المتظاهرون. اقتحم مئات الجنود القلعة," عَصَفَ ,  هَاجَ ",,,اِقْتَحَمَ
1128786,"invade, occupy",march aggressively into another's territory by military force for the purposes of conquest and occupation,"Hitler invaded Poland on September 1, 1939","[اِحْتَلَّ], غَزَا, [اِسْتَوْلَى على]",يزحف بشراسة إلى دولة أخرى بالقوة العسكرية لغزوها واحتلالها,كان الحلفاء مستعدون لغزو ألمانيا. تنتظر القوات إشارة لتغزو," اِحْتَلَّ ,  اِسْتَوْلَى على ",,,غَزَا
1129272,"seal off, blockade",impose a blockade on,,"حَاصَرَ,[عَزَلَ]",يُطوّق بلداً أو مكاناً بالجنود والسفن وما إلى ذلك لمنع الأشخاص أو البضائع من الدخول والخروج,حوصرت مصافي النفط مما أدى لارتفاع أسعار الوقود. عندما تُحاصَر الدولة اقتصادياً فإن اقتصادها ينهار, عَزَلَ ,,,حَاصَرَ
1129837,"beleaguer, besiege, surround, hem in, circumvent",surround so as to force to give up,The Turks besieged Vienna,"حَاصَرَ, [طَوَّقَ], [فَرَضَ الحِصَارَ على], [ضَرَبَ الحِصَارَ]",يحاوط المكان أو الشخص ليجبره على الاستسلام,حوصرت البلدة لمدة شهرين لكنها ما زالت تقاوم," طَوَّقَ ,  فَرَضَ الحِصَارَ على ,  ضَرَبَ الحِصَارَ ",,,حَاصَرَ
1130221,defend,be on the defensive; act against an attack,,دَافَعَ,يحمي شخصاً أو شيئاً ضد الهجوم,يدافع الجيش عن بلاده. دافع عن نفسه ضد الاتهامات,,,,دَافَعَ
1130619,protect,"shield from danger, injury, destruction, or damage",Weatherbeater protects your roof from the rain,"وَقَى, [حَفِظَ], حَمَى, [صَانَ]","يشكل حماية من الخطر، الأذى، الدمار أو الضرر",ملابس الصوف تقي من البرد. تعمل الشركة على حماية مصالحها المالية في البلاد. ,"  حَفِظَ ,  صَانَ ",,,"وَقَى, حَمَى"
1131627,cover,hold within range of an aimed firearm,,"[حَمَى], [حَمَى مِن هُجُوم], غَطَّى",يحمي المجال المستهدف للسلاح,غطت الطائرات المنطقة جوياً. جميع المخارج مغطاة لذا لا يمكنهم الهروب," حَمَى ,  حَمَى مِن هُجُوم ",,,غَطَّى
1132136,protect,use tariffs to favor domestic industry,,"[صَانَ], حَمَى",يستخدم التعرفة الجمركية لتقييد المنافسة على  الصناعة المحلية,التعريفات الجمركية على البضائع المستوردة تحمي الصناعات المحلية, صَانَ ,,,حَمَى
1136251,"discharge, fire",cause to go off,fire a gun; fire a bullet,"أَطْلَقَ, [سَدَّدَ]",يعمل على إطلاق النار من السلاح,يطلق النار من المسدس. يطلق الرصاص,  سَدَّدَ ,,,أَطْلَقَ
1136664,"discharge, fire, go off",go off or discharge,The gun fired,أَطْلَقَ,تنطلق النار من السلاح,أطلق المسدس الرصاصة,,,,أَطْلَقَ
1136948,cannon,fire a cannon,,"[أَطْلَقَ النَّارَ مِن مِدْفَع],[ قَذَفَ بِالمِدْفَع]",يطلق النار من مدفعية,قُصِفت المدينة بالمدافع الثقيلة," أَطْلَقَ النَّارَ مِن مِدْفَع ,  قَذَفَ بِالمِدْفَع ",,قَصَفَ بِالمِدْفَع,GAP
1137207,shoot,fire a shot,, [رَمَى],يطلق قذيفة من سلاح ما,أطلق الجنود النار على العدو,  رَمَى ,,أَطْلَقَ النَّار,GAP
1137645,overshoot,shoot beyond or over (a target),,GAP,لا يصيب هدفه فيذهب بعيداً أو يتجاوزه دون قصد,تجاوز الصاروخ هدفه وضرب الجبل,,,جَاوَزَ الهَدَف,GAP
1137797,trigger,release or pull the trigger on,Trigger a gun,"[أَطْلَقَ], قَدَحَ",يسحب الزناد ويحرره ليطلق النار,قدح الزناد استعداداً للإطلاق, أَطْلَقَ ,,,قَدَحَ
1137927,"snipe, sharpshoot",aim and shoot with great precision,,"[اِقْتَنَصَ], قَنَصَ",يصوّب بدقة كبيرة نحو الهدف ثم يرمي عليه,قنص الصياد الأرنب, اِقْتَنَصَ ,,,قَنَصَ
1139040,gun,shoot with a gun,,GAP,يستخدم البندقية سلاحاً يطلق منه النار,عادة ما يتم اصطياد الحيوانات أو الطيور بإطلاق النار عليها من البندقية,,,أَطْلَقَ النَّار مِن بُنْدُقِيَّة,GAP
1139261,machine gun,shoot with a machine gun,,GAP,يستخدم المدفع الرشاش سلاحاً يطلق منه النار,يُستخدم المدفع الرشاش كسلاح أوتوماتيكي يرش النار سريعاً على الهدف,,,أَطْلَقَ النَّار مِن مِدْفِع رَشَّاش,GAP
1139564,"pip, shoot, hit",hit with a missile from a weapon,,"قَذَفَ, ضَرَبَ, أَطْلَقَ",يرمي قذيفة من أحد الأسلحة,قذفت المدفعية عدة صواريخ. ضُرِبت المدينة بقذائف الهاون. أطلق النار من مسدسه,,,,"قَذَفَ, ضَرَبَ, أَطْلَقَ"
1140949,gamble,play games for money,,قَامَرَ,يلعب ألعاباً مقابل الحصول على المال,قامر على الخيول. خسر معظم أمواله وهو يقامر,,,,قَامَرَ
1151604,"champion, defend",protect or fight for as a champion,,دَافَعَ,يدافع أو يقاتل بحماس من أجل شخص أو معتقد أو مبدأ ليكون بطلاً,لطالما دافع عن الديمقراطية وحقوق التعبير. دافع الشهداء عن وطنهم فأصبحوا أبطالاً,,,,دَافَعَ
1151793,deploy,place troops or weapons in battle formation,,[نَشَرَ],يعمل على توزيع القوات والأسلحة في تشكيلة إستراتيجية استعداداً للمعركة,نشر القائد قواته في كل مكان بحيث لن يكون هناك مجال للعدو لينجو, نَشَرَ ,,نَشَرَ القُوَّات,GAP
1151936,play,"put (a card or piece) into play during a game, or act strategically as if in a card game",He is playing his cards close to his chest; The Democrats still have some cards to play before they will concede the electoral victory,لَعِبَ,"يضع ( البطاقة أو الحجر ) ضمن اللعب في أثناء اللعبة، أو يتصرف بذكاء كما في لعبة الورق",يلعب بأوراق اللعب قريباً إلى صدره.  لعب بحجر النرد ,,,,لَعِبَ
1152630,tackle,"seize and throw down an opponent player, who usually carries the ball",,GAP,يحاول أخذ الكرة من الفريق الآخر عن طريق جعل اللاعب يسقط,تم إيقافه في المرمى. حاول إيقاف خصمه والاستحواذ على الكرة,,,أَوْقَفَ الخَصْم,GAP
1153025,"place, target, direct, aim, point",intend (something) to move towards a certain goal,"He aimed his fists towards his opponent's face; criticism directed at her superior; direct your anger towards others, not towards yourself","اِسْتَهْدَفَ, وَجَّهَ",يتقصّد توجيه شيء نحو هدف معين,كان هو المستهدف بكلامي. لا توجه انتقادك للآخرين فهم أحرار. ,,,,"اِسْتَهْدَفَ, وَجَّهَ"
1153576,"take, train, take aim, direct, aim","aim or direct at; as of blows, weapons, or objects such as photographic equipment",Please don't aim at your little brother!; He trained his gun on the burglar; Don't train your camera on the women; Take a swipe at one's opponent,"صَوَّبَ, وَجَّهَ, [سَدَّدَ]","يوجه نحو شيء معين، كالضربات، الأسلحة، والأشياء كمعدات التصوير",صوب سلاحه نحو الهدف. وجّه الضوء نحو عينيه. , سَدَّدَ ,,,"صَوَّبَ, وَجَّهَ"
1157556,"catch up with, catch, overtake",catch up with and possibly overtake,The Rolls Royce caught us near the exit ramp,"[سَبَقَ], لحِقَ",يدرك الشيء ويصل إليه وربما يتجاوزه,أسرعَ ليلحق بالحافلة ويتجاوزها., سَبَقَ ,,,لحِقَ
1158153,"wager, play, bet",stake on the outcome of an issue,I bet $100 on that new horse; She played all her money on the dark horse,"[قَامَرَ],[ خَاطَرَ], رَاهَنَ",يغامر بالمال كرهان على نتيجة شيء ما,راهن بمبلغ مئة دولار على فوز الحصان الأبيض," قَامَرَ ,  خَاطَرَ ",,,رَاهَنَ
1159300,"take, ingest, take in, have, consume","serve oneself to, or consume regularly",Have another bowl of chicken soup!; I don't take sugar in my coffee,"[اِسْتَهْلَكَ], [اِسْتَخْدَمَ], [أَخَذَ],[ اِسْتَعْمَلَ], تَنَاوَلَ",يُدخل إلى جسده من طعام وشراب وهواء,تناول المزيد من الماء. لا أتناول السكريات . ," اِسْتَهْلَكَ ,  اِسْتَخْدَمَ ,  أَخَذَ ,  اِسْتَعْمَلَ ",,,تَنَاوَلَ
1159815,"use up, eat up, eat, deplete, exhaust, run through, consume, wipe out",use up (resources or materials),this car consumes a lot of gas; We exhausted our savings; They run through 20 bottles of wine a week,"اسْتَهْلَكَ, [اسْتَنْفَدَ], [اسْتَنْزَفَ]",يستخدم الموارد أو المواد بكميات كبيرة,لقد استهلكنا كل ما لدينا من مؤن. هذه السيارة تستهلك الكثير من الوقود," اسْتَنْفَدَ ,  اسْتَنْزَفَ ",,,اسْتَهْلَكَ
1160479,"waste, ware, consume, squander",spend extravagantly,"waste not, want not","أَسْرَفَ, بَذَّرَ,[ بَعْثَرَ]",يصرف ويبدد المال بشكل كبير على أشياء لا فائدة منها,"لا تسرف، كن معتدلاً. من يبذّر المال يخسر كل شيء",  بَعْثَرَ ,,,"أَسْرَفَ, بَذَّرَ"
1160888,"expend, use","use up, consume fully",The legislature expended its time on school questions,"اِسْتَنْفَدَ, [اِسْتَهْلَكَ], [اِسْتَخْدَمَ], اسْتَنْزَف, [اِسْتَعْمَلَ]",يستهلك المادة حتى انتهائها تماماً,لقد استنفد هذا التمرين كل قواي. يتم استنزاف الموارد الطبيعية بشكل غير مدروس," اِسْتَهْلَكَ ,  اِسْتَخْدَمَ ,  اِسْتَعْمَلَ ",,,"اِسْتَنْفَدَ, اسْتَنْزَف"
1161188,"utilise, apply, use, utilize, employ",put into service; make work or employ (something) for a particular purpose or for its inherent or natural purpose,use your head!; we only use Spanish at home; I can't use this tool; Apply a magnetic field here; This thinking was applied to many projects; How do you utilize this tool?; I apply this rule to get good results; use the plastic bags to store the food; He doesn't know how to use a computer,"اِنْتَفَعَ, اِسْتَخْدَمَ, اِسْتَفَاد, [اِسْتَعْمَلَ],[ طَبَّقَ]",يستخدم شيئاً بطريقة فعالة وعملية لغرض معين,سأنتفع من هذا المنزل بتأجيره. سأستخدم الحاسوب لحفظ البيانات. كيف يمكننا الاستفادة من هذه الأداة؟ ," اِسْتَعْمَلَ ,  طَبَّقَ ",,,"اِنْتَفَعَ, اِسْتَخْدَمَ, اِسْتَفَاد"
1162686,"assign, put",attribute or give,She put too much emphasis on her the last statement; He put all his efforts into this job; The teacher put an interesting twist to the interpretation of the story,وَضَعَ,يعطي شخصاً أو شيئاً بحد ذاته دوناً عن غيره,وضع كل تركيزه على دراسته. وضع جهوده في هذه الوظيفة,,,,وَضَعَ
1163403,waste,use inefficiently or inappropriately,waste heat; waste a joke on an unappreciative audience,"[أَسْرَفَ],[ بَذَّرَ], هَدَرَ",يستخدم الشيء بشكل غير فعال وغير مناسب بحيث يضيع المال أو الموارد هدراً,أغلق الصنبور أنت تهدر الماء عبثاً," أَسْرَفَ ,  بَذَّرَ ",,,هَدَرَ
1165070,"work, exploit",use or manipulate to one's advantage,He exploit the new taxation system; She knows how to work the system; he works his parents for sympathy,"اِسْتَغَلَّ, [سَخَّرَ]",يستخدم الشيء ويستفيد منه لصالحه شخصياً,يستغل وقت فراغه في أشياء مفيدة, سَخَّرَ ,,,اِسْتَغَلَّ
1165936,mine,get from the earth by excavation,mine ores and metals,"[مَنْجَم]، ( يعدّن )",يحصل على الموارد الثمينة من الأرض من خلال الحفر والتعدين,يعدّن عمال المناجم الذهب والحديد, مَنْجَم ,  يعدّن  ,, يعدّن 
1166589,"exploit, tap",draw from; make good use of,we must exploit the resources we are given wisely,"اِسْتَثْمَرَ, إِسْتَغَلَّ, [سَخَّرَ]",يحصل على الشيء ويستفيد منه إيجابياً,استثمار الموارد يعود على خير البلاد. علينا استغلال المصادر المائية البعيدة. , سَخَّرَ ,,,"اِسْتَثْمَرَ, إِسْتَغَلَّ"
1167359,"habituate, use",take or consume (regularly or habitually),She uses drugs rarely,"اِسْتَعْمَلَ, اِسْتَخْدَمَ",يتناول أو يستهلك بشكل منتظم أو معتاد,يجب عدم الإكثار من استعمال المنظفات القوية. يستخدم المواد بطريقة أكثر كفاءة,,,,"اِسْتَعْمَلَ, اِسْتَخْدَمَ"
1168409,"exercise, exert",put to use,exert one's power or influence,"[بَذَلَ],[ اِسْتَعْمَلَ], اِسْتَخْدَمَ",يضع الشيء قيد الاستخدام,سأستخدم قوتي في رفع هذا الصندوق.," بَذَلَ ,  اِسْتَعْمَلَ ",,,اِسْتَخْدَمَ
1168667,eat,eat a meal; take a meal,"We did not eat until 10 P.M. because there were so many phone calls; I didn't eat yet, so I gladly accept your invitation",[أَكَلَ],يتناول وجبة طعام,لم أتناول طعامي بعد لذا سأقبل دعوتك., أَكَلَ ,,تَنَاوُلَ الطَّعَام,GAP
1170802,eat,take in solid food,She was eating a banana; What did you eat for dinner last night?,أَكَلَ,يتناول طعاماً صلباً,كان الصغير يأكل تفاحة,,,,أَكَلَ
1171984,suck,draw into the mouth by creating a practical vacuum in the mouth,suck the poison from the place where the snake bit; suck on a straw; the baby sucked on the mother's breast,مَصَّ,"يسحب السائل أو الطعام من خلال الفم دون استخدام الأسنان، أو تحريك اللسان وعضلات الفم حول شيء داخل الفم",توقف عن مص إبهامك. يمص الناس النعناع كمعطر للفم,,,,مَصَّ
1172332,"drink, imbibe",take in liquids,The patient must drink several liters each day; The children like to drink soda,شَرِبَ,يتناول السوائل,يجب أن يشرب الأطفال الحليب,,,,شَرِبَ
1172967,sip,drink in sips,She was sipping her tea,"[رَشَفَ], اِرتَشَفَ",يشرب السائل برشفات صغيرة,نرتشف القهوة لنستمتع بطعمها. ارتشف الحليب لأنه ساخن, رَشَفَ ,,,اِرتَشَفَ
1173463,"drink, fuddle, booze",consume alcohol,We were up drinking all night,"[سَكَرَ], [شَرِبَ], اِحْتَسَى",يتناول المشروبات الكحولية,سهروا الليل وهم يحتسون النبيذ," سَكَرَ ,  شَرِبَ ",,,اِحْتَسَى
1176591,"nibble, pick, piece",eat intermittently; take small bites of,He pieced at the sandwich all morning; She never eats a full meal--she just nibbles,"لَقَطَ,[ قَضَمَ], [أكَلَ بِتَأنٍ]",يأكل قضمات قليلة من طعامه ببطء,"إنها لا تكمل وجبتها عادةً، بل تلتقط منها قضمات صغيرة","  قَضَمَ ,  أكَلَ بِتَأنٍ ",,,لَقَطَ
1178376,mess,eat in a mess hall,,[ تَنَاوَلَ الطَّعَام فِي قَاعَة الطَّعَام],يتناولون وجبتهم مجتمعين سوياً,أحب تناول طعامي في جماعة,  تَنَاوَلَ الطَّعَام فِي قَاعَة الطَّعَام ,,تَنَاوَلَ الطَّعَام فِي جَمَاعَة,GAP
1182162,"feed, eat",take in food; used of animals only,This dog doesn't eat certain kinds of meat; What do whales eat?,"[اِقْتَاتَ], [عَلَفَ], تَغَذَّى, أَكَلَ","يتناول الطعام، تستخدم للحيوانات",تتغذى قطتنا على أنواع معينة من الطعام. تأكل المواشي الحشائش والأعشاب," اِقْتَاتَ ,  عَلَفَ ",,,"تَغَذَّى, أَكَلَ"
1182503,feed,serve as food for; be the food for,This dish feeds six,"طَعَمَ, [غَذَّى]","يقدم الطعام لكي يؤكل، أو يكون غذاءً",علينا إطعام الفقراء. هذا الطبق يطعم ثلاثة أشخاص,  غَذَّى ,,,طَعَمَ
1182648,"serve, serve up, dish out, dish up, dish",provide (usually but not necessarily food),We serve meals for the homeless; She dished out the soup at 8 P.M.; The entertainers served up a lively show,"قَدّمَ, زَوَّدَ","يمنح شيئاً من باب الخدمة، ليس طعاماً بالضرورة",نقدم وجبات مجانية لمن لا يملكون المال. يزوّد محرك البحث بقائمة من مواقع الويب المفيدة,,,,"قَدّمَ, زَوَّدَ"
1183463,feed,feed into; supply,Her success feeds her vanity,"دَعَمَ, غَذَّى",يعمل كنوع من الدعم,تدعم الوسائط الإعلامية الناس بالأخبار. تذكر أن تزود النار بالخشب لإبقائها مشتعلة,,,,"دَعَمَ, غَذَّى"
1183592,"serve, help",help to some food; help with food or drink,"I served him three times, and after that he helped himself","[ قَدَّمَ],[ قَدَّمَ الطَّعَام]",يساعد في جلب الطعام والشراب للشخص,يخدم النادل على الموائد ليأخذ طلبات الزبائن,"  قَدَّمَ ,  قَدَّمَ الطَّعَام ",,خَدَمَ على المَائِدَة,GAP
1185006,"provide, supply, ply, cater","provide what is desired or needed, especially support, food or sustenance",The hostess provided lunch for all the guests,"[زَوَّدَ], أَمَدَّ, قَدَّمَ","يقدم ما هو مطلوب أو مرغوب، كالدعم أو الغذاء",أمدتنا الدولة الشقيقة بدعم كبير. قدمت المضيفة الطعام للضيوف, زَوَّدَ ,,,"أَمَدَّ, قَدَّمَ"
1185870,"meet, satisfy, fill, fulfill, fulfil",fill or meet a want or need,,"لَبَّى, حَقَّقَ, [وَفَّى بِمَطَالِب], [أَرْضَى]",يحقق أو يلبي رغبة أو حاجة,يمكن أن يلبي الحاسوب البسيط حاجات المبتدئين. سنحقق رغبة الزبائن بتمديد العرض.,"  وَفَّى بِمَطَالِب ,  أَرْضَى ",,,"لَبَّى, حَقَّقَ"
1187158,"sustain, keep, maintain",supply with necessities and support,She alone sustained her family; The money will sustain our good cause; There's little to earn and many to keep,"[أيَّد], دَعَمَ,[ غَذَّى], سَانَدَ, [حَافَظَ]",يقدم كل ما هو ضروري من دعم واحتياجات,إنها الوحيدة التي تدعم عائلتها. تساند الحكومة الشعب في معيشته. ," أيَّد ,   غَذَّى ,  حَافَظَ ",,,"دَعَمَ, سَانَدَ"
1190875,be full,"be sated, have enough to eat","I'm full--don't give me any more beans, please","شَبِعَ, [اِمْتَلأ]",ملأ معدته بما يكفي من الطعام وأكثر,"لقد شعبت، لا تقدم لي المزيد من الطعام رجاءً. ", اِمْتَلأ ,,,شَبِعَ
1191018,"lust, crave, starve, thirst, hunger","have a craving, appetite, or great desire for",,[اِحْتَاجَ إلى],يكون لديه رغبة قوية في شيء ما,عندما كانت حاملاً رغبت في كثير من الأطعمة. كان يتوق إلى تولي السلطة, اِحْتَاجَ إلى ,,"رَغِبَ بـ, تَاقَ إلَى",GAP
1191258,"want, need, require",have need of,This piano wants the attention of a competent tuner,"[عَازَ], اِحْتَاجَ, تَطَلَّبَ, اِسْتَلْزَمَ",يكون لديه حاجة ضرورية لشيء ما,هذه الآلة تحتاج إلى إصلاح. هناك دروس تتطلب الحضور. استلزم المريض نقل دم, عَازَ ,,,"اِحْتَاجَ, تَطَلَّبَ, اِسْتَلْزَمَ"
1191646,need,have or feel a need for,always needing friends and money,"[عَازَ] ,[ أَعْوَزَ],[ اِسْتَلْزَمَ], اِحْتَاجَ,[ تَطَلَّبَ]",يشعر بالحاجة إلى شيء,يفتقر إلى المعرفة. نحتاج الأصدقاء," عَازَ  ,  أَعْوَزَ ,  اِسْتَلْزَمَ ,   تَطَلَّبَ ",,إِفْتَقَرَ إِلَى,اِحْتَاجَ
1191960,fast,abstain from eating,"Before the medical exam, you must fast",صَامَ,ينقطع عن الطعام والشراب نهائياً,عليك الصيام قبل إجراء عمل جراحي,,,,صَامَ
1192137,fast,"abstain from certain foods, as for religious or medical reasons",Catholics sometimes fast during Lent,صَامَ,"ينقطع عن أطعمة معينة، لأسباب دينية أو طبية",يصوم الكاثوليك عن المنتجات الحيوانية في أيام صومهم,,,,صَامَ
1193481,"delight, enjoy, revel",take delight in,he delights in his granddaughter,"اِبْتَهَجَ, سَرَّ, ,[ تَمَتَّعَ], اِسْتَمْتَعَ",يجد سعادته مع أو في شيء ما,أبتهج بوجودي مع عائلتي. تُسَرّ المعلمة بنجاح تلاميذها. سعدنا بانضمامكم إلينا. أتمنى أن تستمتعوا بالعطلة,  تَمَتَّعَ ,,سَعِدَ بـِ,"اِبْتَهَجَ, سَرَّ,  اِسْتَمْتَعَ"
1195043,enjoy,have benefit from,enjoy privileges,"[اِسْتَفَادَ], تَمَتَّعَ",يحصل على شيء جيد يستفيد منه ويكون محظوظاً به,يتمتع بصلاحيات واسعة في هذا المنصب. تتمتع المدارس هنا بالدعم الحكومي, اِسْتَفَادَ ,,,تَمَتَّعَ
1195161,afford,be able to spare or give up,I can't afford to spend two hours with this person,"[قَدِرَ على],[ أَعْطَى], تَحَمَّلَ",يكون قادراً على فعل شيء استثنائي,لا يمكنني تحمل المصاريف الكبيرة للحفل ," قَدِرَ على ,  أَعْطَى ",,,تَحَمَّلَ
1195525,go,be spent,All my money went for food and rent,"ذَهَبَ,[ مَشَى],[ مَضَى], رَاحَ",ينقضي,. ذهبت أموالي في الطعام والتسوق. راح كل تعبي سدىً,"  مَشَى ,  مَضَى ",,,"ذَهَبَ, رَاحَ"
1196951,host,be the host of or for,We hosted 4 couples last night,اِسْتَضَافَ,يكون مضيفاً لمن يأتي لزيارته من الضيوف,استضافونا في الفندق لمدة ثلاثة أيام,,,,اِسْتَضَافَ
1197471,"plump out, fat, plump, fatten out, fatten, flesh out, fill out, fatten up",make fat or plump,We will plump out that poor starving child,سَمَّنَ,يجعل الشخص سميناً أو ممتلئاً بإعطائه المزيد من الطعام,يجب تسمين الطفل قليلاً فوزنه أقل من الطبيعي,,,,سَمَّنَ
1197832,"try, taste, sample, try out",take a sample of,Try these new crackers; Sample the regional dishes,[جَرَّبَ],يأخذ عينة من شيء ما حتى يجربه ويحكم عليه,يأخذ الزبائن أحياناً عينات مجانية من منتجات التجار لتجربتها, جَرَّبَ ,,أخَذَ عَيِّنَة,GAP
1198337,"fritter away, shoot, frivol away, fritter, dissipate, fool away, fool",spend frivolously and unwisely,Fritter away one's inheritance,"[بَذَّرَ], ضَيَّعَ, بَدَّدَ",ينفق المال دون حكمة وتفكير على أشياء تافهة لا فائدة منها,ضيع ميراث والده في القمار. بدّد ثروته في شراء أشياء لا قيمة لها, بَذَّرَ ,,,"ضَيَّعَ, بَدَّدَ"
1198570,"abstain, refrain, desist",choose not to consume,I abstain from alcohol,"[كَفَّ], ,[ تَرَكَ],  أَحْجَمَ, [هَجَرَ]",يختار عدم فعل الشيء أو استهلاكه بإرادته إذا كان يعتقد أنه سيء,امتنع عن التدخين. عزف عن الزواج بسبب الغلاء. أحجم عن القتال," كَفَّ , ,  تَرَكَ ,   هَجَرَ ",,"اِمْتَنَعَ عَن، عَزَفَ عَن,",أَحْجَمَ
1199057,"forgo, give up",refrain from consuming,You will have to forgo alcohol,"[اِمْتَنَعَ عَن], تَرَكَ,[ هَجَرَ], أَقْلَعَ, [عَزَفَ عَن]",يتوقف عن فعل شيء أو استهلاك شيء بإرادته,عليك ترك التدخين. سأقلع عن الشرب," اِمْتَنَعَ عَن ,   هَجَرَ ,  عَزَفَ عَن ",,,"تَرَكَ, أَقْلَعَ"
1200388,"metabolise, metabolize",produce by metabolism,,اِسْتَقْلَبَ,"يستخدم العمليات الكيميائية داخل الجسم ليحول الغذاء إلى طاقة، ونمو جديد، وفضلات",يتم استقلاب الدهون في الجسد عن طريق الكبد,,,,اِسْتَقْلَبَ
1200739,smoke,"inhale and exhale smoke from cigarettes, cigars, pipes",We never smoked marijuana; Do you smoke?,"[شَرِبَ السٍّيجَارَة], دَخَّنَ",يُدخل ويُخرج الدخان الصادر من السجائر أوالسيجار  أو الغليون,أدخن سيجارتين في اليوم لا أكثر, شَرِبَ السٍّيجَارَة ,,,دَخَّنَ
1203727,"masticate, jaw, chew, manducate",chew (food),He jawed his bubble gum; Chew your food and don't swallow it!; The cows were masticating the grass,"[لاكَ], عَلَكَ, مَضَغَ",يمضغ الطعام في فمه بأسنانه,لا تعلك العلكة بشكل مستفز. امضغ طعامك جيداً قبل بلعه, لاكَ ,,,"عَلَكَ, مَضَغَ"
1204494,"swallow, get down",pass through the esophagus as part of eating or drinking,Swallow the raw fish--it won't kill you!,بَلَعَ,يدفع الطعام والشراب من الفم إلى المريء كجزء من عملية تناول الطعام أو الشراب,ابتلع حبة العنب كاملة كما هي,,,,بَلَعَ
1207423,"wanton, luxuriate",become extravagant; indulge (oneself) luxuriously,," [عَبَثَ], تَرِفَ",يحصل على متعة كبيرة من شيء ما لأنه يجد فيه الراحة والرفاهية وينغمس فيه بشكل كبير,انغمس في ملذاته ما تسبب بتبديد أمواله. ترِف في حياته إلى حد التبذير,  عَبَثَ ,,اِنْغَمَسَ فِي المَلاذ,تَرِفَ
1208316,"meet, touch, adjoin, contact",be in direct physical contact with; make contact,The two buildings touch; Their hands touched; The wire must not contact the metal cover; The surfaces contact at this point,"[اِلْتَقَى], لامَسَ, [اِتَّصَلَ], لَمَسَ, [اِتَّحَدَ]",يكون على اتصال مادي مباشر مع أشياء أخرى,تلامس المبنيان سوياً. لمست يده يداها," اِلْتَقَى ,  اِتَّصَلَ ,  اِتَّحَدَ ",,,"لامَسَ, "
1208838,touch,"make physical contact with, come in contact with",Touch the stone for good luck; She never touched her husband,"تَلَمَّسَ,[ جَسَّ], لَمَسَ, [مَسَّ]",يعمل على إيجاد اتصال مادي مباشر,تلمّست الأم جبين طفلها. لمستُ القماش الناعم,"تَلَمَّسَ,  جَسَّ ,  مَسَّ ",,,لَمَسَ
1209769,"immobilise, trap, immobilize, pin",to hold fast or prevent from moving,The child was pinned under the fallen tree,"[حَصَرَ],[ عَاقَ], [أَمْسَكَ], أَوْقَفَ, [عَلِقَ]",يثبّته ويمنعه من الحركة,شل النمر حركة فريسته. سوء الأحوال الجوية أوقف حركة الملاحة," حَصَرَ ,  عَاقَ ,  أَمْسَكَ ,  عَلِقَ ",,شَلَّ حَرَكَة,أَوْقَفَ
1210022,pick up,take up by hand,He picked up the book and started to read,اِلْتَقَطَ,يرفع أحداً أو شيئاً بيديه,عندما بكت الطفلة التقطتها أمها وحضنتها. التقط كتابه وبدأ يقرأ فيه,,,,اِلْتَقَطَ
1210571,"spread over, cover",form a cover over,The grass covered the grave,غَطَّى,يشكل غطاء يستر شيئاً,تغطي المياه معظم الكرة الأرضية,,,,غَطَّى
