PWN Synset ID,English lemmas,English Gloss,English Examples,Arabic lemmas or Gap,Arabic gloss,Arabic examples,Phrase
8658314,"playground, resort area, vacation spot",an area where many people go for recreation,, مُنْتَجَع,مكان للاستجمام يقضي فيه الناس عطلتهم أو يزورونه للسياحة,تقدم المنتجعات جميع الخدمات التي يحتاجها الزوار من الطعام والسكن والترفيه والتسوق,
8658688,"neighborhood, locality, neck of the woods, neighbourhood, vicinity",a surrounding or nearby region,the plane crashed in the vicinity of Asheville; it is a rugged locality; he always blames someone else in the immediate neighborhood; I will drop in on you the next time I am in this neck of the woods,"قُرْب, جِوَار",المكان الذي يحيط بالموقع الذي تتواجد فيه أو يجاوره,  سأمر عليك عندما أكون بالقرب. أصبح الساكن الجديد متكيفاً مع الجوار.,
8659612,place,a general vicinity,He comes from a place near Chicago,مَكَان,"المنطقة المحيطة بشكل عام، القرب من مكان أو شخص",يوجد الكثير من الفنادق مكان المحطة مباشرة,
8659720,"city block, block",a rectangular area in a city surrounded by streets and usually containing several buildings,he lives in the next block,كتلة المدينة,"أصغر مجموعة مباني في المدينة بشكل مستطيل، تحيط بها الشوارع",كتل االمباني في هذه المدينة حديثة ومتطورة,
8661508,"safety, refuge",a safe place,He ran to safety,"مَلْجَأ, مَأْوَى",المكان الذي يشعر فيه الشخص بالراحة ولا يكون معرضاً لأي خطر أوأذى نفسي أو جسدي,الملجأ الوحيد الآمن في هذا العالم هو حضن أمك. بحث عن مأوى له من المطر,
8661788,danger,a dangerous place,He moved out of danger, خَطَر,المكان الذي يرجح أن تتعرض فيه للأذى,يعتبر الشارع خطراً للعب فيه,
8662297,"rural area, country",an area outside of cities and towns,his poetry celebrated the slower pace of life in the country,"قَرْيَة, رِيف",منطقة خارج المدينة أو البلدة  تتميزبخصبها وزرعها, القرى مناطق بسيطة وهادئة. يشتهر الريف الإنكليزي بسحره الخاص وهدوئه.,
8663538,scene,the place where some action occurs,the police returned to the scene of the crime,"سَاحَة, مَشْهَد",المكان الذي يشهد حصول بعض الأحداث,عاد نائب الرئيس إلى الساحة السياسية مجددا. عادت الشرطة إلى منزل الضحية لتحقق في مشهد الجريمة أكثر.,
8664362,scenery,the appearance of a place,,مظهر ,ما يبدو عليه مكان ما,قامت بتصميم المظهر الخاص بخشبة المسرح,
8664477,landscape,an expanse of scenery that can be seen in a single view,,"مَشْهَد, مَنْظَر",امتداد لمنظر طبيعي  يمكن رؤيته بمشهد واحد, المشهد الطبيعي مريح جداُ  للنفس. المناظر الطبيعية في سويسرا.,
8665191,"place, seat",a space reserved for sitting (as in a theater or on a train or airplane),he booked their seats in advance; he sat in someone else's place,"مَقْعَد, مَكَان",مكان محجوز للجلوس عليه كما في الباص أو المسرح,"لم أستطع إيجاد مقعد في هذه الحفلة بسبب الازدحام الشديد.  تفضل، هذا المكان مخصص لك",
8665520,seat,a center of authority (as a city from which authority is exercised),,"عَاصِمَة سِيَاسِيَّة,مَقَرّ الحُكُومَة",المدينة التي تتركز فيها مقرات السلطة  في الدولة,واشنطن هي العاصمة السياسية للويات المتحدة.  مقر الحكومة البريطانية  هو مدينة لندن,
8665897,section,a distinct region or subdivision of a territorial or political area or community or group of people,no section of the nation is more ardent than the South; there are three synagogues in the Jewish section,قِطَاع,جزء محدد من الأرض كمنطقة إقليمية أو سياسية ,قطاع غزة,
8666920,side,a place within a region identified relative to a center or reference location,they always sat on the right side of the church; he never left my side,جَانِب,مكان ضمن منطقة يتم تحديده بالنسبة للمركزأو للموقع الأساسي,وضعت بعض نباتات الزينة على جوانب المدخل الرئيسي,
8668822,"site, land site",the piece of land on which something is located (or is to be located),a good site for the school, مَوْقِع,المكان الذي يكون أو سيكون عليه شيء أو حدث,هذا موقع ممتاز لبناء المستشفى. ,
8670545,space,an area reserved for some particular purpose,the laboratory's floor space,"مَجَال, مِسَاحَة, مَكَان",منطقة مخصصة لغرض معين,لديك مجال واسع لوضع أغراضك. مساحة الطريق ضيقة ولا يمكنني المرورهنا. المكان الذي سنضع فيه المكتب. ,
8671049,"vacuity, vacuum",a region that is devoid of matter,," فَرَاغ, خَوَاء",الحيزالخالي من أي مادة,أوجد الفراغ بسحب الهواء. الأرض هنا خواء لا شجر فيها ولا بشر,
8671935,"state, province",the territory occupied by one of the constituent administrative districts of a nation,his state is in the deep south,إقْلِيم,أحد التقسيمات الإدارية التي تشكل البلاد,تتركز مناجم الفحم  في شمال الصين   في إقليم شانكسي,
8673095,american state,one of the 50 states of the United States,,وِلاَيَة أمْرِيكِيَّة,إحدى الولايات الخمسين التي تتكون منها أمريكا,تتكون الولايات المتحدة الأمريكية من خمسين ولاية,
8674524,stop,a spot where something halts or pauses,his next stop is Atlanta," مَحَطَّة,موقف",المكان الذي يمكث فيه شيء عن السيردون التقدم أو التحرك,سأنتظر قدومه في محطة القطارات. سأنزل من الباص في الموقف القادم. ,
8677624,corner,the point where three areas or surfaces meet or intersect,the corners of a cube,زَاوِيَة,النقطة التي يلتقي عندها ثلاثة أسطح في مكان ثلاثي الأبعاد ,زوايا المكعب,زاوية ثلاثية الأبعاد
8677970,surface,the extended two-dimensional outer boundary of a three-dimensional object,they skimmed over the surface of the water; a brush small enough to clean every dental surface; the sun has no distinct surface,سَطْح,الجزء الخارجي الممتد من جسم ثلاثي الأبعاد,"سطح الأرض،   سطح الماء",
8678672,"target, target area",the location of the target that is to be hit,," هَدَف,منطقة مستهدفة",موضع الهدف المراد ضربه,النقطة في المنتصف هي الهدف الذي عليك إصابته. المنطقة المستهدفة في المعركة هي المنطقة الساحلية. ,
8680894,tip,the extreme end of something; especially something pointed,,"رَأْس, طَرَف",أقصى نهاية لشيء ما وخصوصاً ما له رأس,"للإبرة رأس حاد،  الكلمة على طرف لساني",
8681598,top,the upper part of anything,the mower cuts off the tops of the grass; the title should be written at the top of the first page,"قِمَّة, رَأْس",الجزء الأعلى من أي شيء,  قمة الجبل مغطاة بالثلج. وصلوا إلى رأس التلة.,أعلى الشيء
8682181,"place, spot, topographic point",a point located with respect to surface features of some region,this is a nice place for a picnic," مَكَان,نُقْطَة طُوبُوغْرَافِيَّة",نقطة يكون موقعها يتعلق بالخصائص التضاريسية لمنطقة ما,هذا المكان جيد للقيام بنزهة. الأنهار والجبال هي نقاط طبوغرافية تصف تضاريس الأرض,
8683242,town,an urban area with a fixed boundary that is smaller than a city,they drive through town on their way to work,بَلْدَة,منطقة مستقرة ذات حدود أكبر من القرية وأصغر من المدينة,البلدة بعيدة عن مقر عملهم,
8689937,"township, town",an administrative division of a county,the town is responsible for snow removal,  بلدة,التقسيمات الفرعية الإدارية لمقاطعة,تقسم البلدات إلى تقسيمات عديدة حسب حجمها ونشأتها وتعداد سكانها,
8690476,"village, hamlet",a settlement smaller than a town,,قَرْيَة,تجمع سكني في منطقة ريفية أصغر من المدينة والبلدة تتصل فيه الأبنية ,تتميز القرية بالهدوء والهواء النظيف وبساطة الناس,
8691133,"tract, piece of land, piece of ground, parcel of land, parcel",an extended area of land,,قِطْعَة أرْض,مساحة ممتدة من الأرض تستخدم عادة لغرض معين كالزراعة أو البناء,تنوي الشركة شراء هذا القطعة من الأرض لبناء الفندق الجديد,
8692477,"plot of ground, patch, plot",a small area of ground covered by specific vegetation,a bean plot; a cabbage patch; a briar patch,قِطْعَة أرْض,قطعة أرض صغيرة مغطاة بنوع معين من النباتات,قطعة أرض مزروعة بالبازلاء,أرض زراعية
8693705,"urban area, populated area",a geographical area constituting a city or town,, مِنْطَقَة حَضَرِيَّة,منطقة استقرار بشري كثيفة السكان حديثة البنى التحتية,يمكن أن تكون المنطقة الحضرية عبارة عن مدينة أة بلدة أو ضاحية,
8697710,"direction, way",a line leading to a place or point,he looked the other direction; didn't know the way home,"اِتِّجَاه, طَرِيق ",الخط الذي تسلكه  لتصل إلى مكان  أو نقطة معينة اعتماداً على الجهات الأربع,أضاع العنوان لأنه ذهب في الاتجاه الخاطئ. ضل طريقه إلى المنزل,
8698626,"bearing, heading, aim",the direction or path along which something moves or along which it lies,,"وِجْهَة, جِهَة",الاتجاه أو الطريق الذي يسلكه شيء أو الذي يكون موقعه فيه,سارت نحو وجهتها بخطى سريعة. سنذهب من جهة الشمال,
8698960,"course, trend",general line of orientation,the river takes a southern course; the northeastern trend of the coast," تَوَجُّه, مَيْل",مجرى التيار العام   في فترة معينة من الزمن. خط التوجه العام,يميل توجه دور الأزياء لهذا الصيف نحو الفساتين البسيطة. يتجه الميل نحو الألوان الهادئة هذا الشتاء.,
8705985,zone,a circumscribed geographical region characterized by some distinctive features,,إِقْلِيْم,منطقة جغرافية محددة تتميز عن غيرها مما يحيط بها ولها خصائص مميزة ,"إقليم البحر المتوسط، الأقاليم الصحراوية",
8709407,national capital,the capital city of a nation,,عَاصِمَة قَوْمِيَّة,المدينة الأساسية التي تتركز فيها مقرات السلطة في الدولة وهي العاصمة,القاهرة هي العاصمة القومية لمصر,
8715641,"scandinavian nation, scandinavian country",countries occupying Scandinavia,,دَوْلَة إسْكَنْدِنافِيّة,الدول التي تقع في شبه  جزيرة اسكندنافيا شمال أوروبا,الدانمارك والسويد والنرويج وفنلندا دول اسكندنافية,
8715940,"balkan country, balkan nation, balkan state",a country on the Balkan Peninsula,,دَوْلَة بَلْقانِيَّة,الدول الموجودة في جزيرة البلقان جنوب شرق أوروبا,"ألبانيا، بلغاريا، اليونان والبوسنة والهرسك من دول البلقان",
8718069,"asian country, asian nation",nations occupying the Asian continent,,دَوْلَة آسْيَوِيَّة,الدول التي تقع في قارة آسيا,الصين والهند وأندونيسيا واليابان دول آسيوية,
8720216,"south american nation, south american country",countries occupying the South American continent,,دَوْلَة أمْرِيكِيَّة جَنُوبِيَّة,الدول التي تقع في قارة أمريكا الجنوبية,البرازيل والتشيك والمكسيك دول جنوب أمريكية,
8720619,"north american country, north american nation",a country on the North American continent,,دَوْلَة أمْرِيكِيَّة شَمالِيَّة,الدول التي تقع في قارة أمريكا الشمالية,الولايات المتحدة وكندا  هي دول شمال أمريكية,
8916554,sultanate,country or territory ruled by a sultan,,سَلْطَنَة,الدولة التي يكون فيه السلطان على رأس الدولة ويمتد الحكم فيه غالباً حتى وفاته وينتقل بالوراثة إلى ولي عهده,سلطنة عُمان  هي الوحيدة التي تتبع نظام السلطنة في العالم,
8959335,french region,a geographical subdivision of France,,إقْلِيم فَرَنْسِيّ,التقسيمات الإدارية في فرنسا,هناك أقاليم فرنسية تقع ما وراء البحار غير الواقعة في فرنسا,
9201624,life,a motive for living,pottery was his life,"حَيَاة ,مصدر رزق",ما يدفعك لكسب عيشك,كانت البستنة حياته ومصدر رزقه,
9201718,rational motive,a motive that can be defended by reasoning or logical argument,,دَافِع عَقْلاَنِيّ,القرارات العقلانية والأفكار التي تحكم العقل بدل العاطفة,الدوافع العقلانية في الشراء هي عندما يكون المستهلك عقلانياً في اتخاذ قرار الشراء,
9203015,"disincentive, deterrence",a negative motivational influence,,مَانِع,تأثير إحباطي سلبي يمنعك من فعل شيء كنت متحمساً لتفعله,الضرائب المرتفعة تشكل مانعاً يحبط القيام بالمشاريع,مانع معنوي
9206590,"morality, ethics, morals, ethical motive",motivation based on ideas of right and wrong,," أَخْلاقِيَّات, دَافِع أَخْلاقِي",ما يحرك في نفسك الضمير ويوجهك نحو التصرف الصحيح ويبعدك عن التصرف الخاطئ,الدافع الأخلاقي للوفاء بوعدك تجاه إنسان هو الذي يجعلك تعمل بجد لتفي به. أخلاقيات العمل تملي عليك الالتزام بمسؤولياتك,
9213796,agent,an active and efficient cause; capable of producing a certain effect,their research uncovered new disease agents,مُسَبِّب,شيء أو شخص قوي وفعال وقادر على التأثير ,كشفت الدراسة الحديثة مسببات جديدة للوباء,
9236472,bank,sloping land (especially the slope beside a body of water),they pulled the canoe up on the bank; he sat on the bank of the river and watched the currents,ضِفَّة,حافة اليابسة المجاورة لمسطح مائي كبير,جلس على ضفة النهر يتأمل صورة وجهه المنعكسة على المياه,
9237488,barrier,anything serving to maintain separation by obstructing vision or access,," حَاجِز, سَدّ",ما يستخدم للمنع أو للإعاقة عن فعل شيء أو عن الانتقال إلى مكان آخر,وضعت الشرطة حاجزاً في وجه حركة سير السيارات. الغرض من إنشاء السدود المائية الاحتفاظ بالمياه,مانع مادي
9237930,"baryon, heavy particle",any of the elementary particles having a mass equal to or greater than that of a proton and that participate in strong interactions; a hadron with a baryon number of +1,, باريُون,جسيم تحت ذري ثقيل يشمل البروتونات والنيوترونات والهيبرونات يساهم في التفاعلات,,
9238571,"embayment, bay",an indentation of a shoreline larger than a cove but smaller than a gulf,,خَلِيج,امتداد مائي داخل في اليابسة,"خليج المكسيك، خليج عدن، الخليج العربي، خليج ألاسكا",خليج صغير
9240137,beach,an area of sand sloping down to the water of a sea or lake,,شَاطئ,امتداد منبسط وعريض من اليابسة على جانب البحر أو البحيرة مغطى بالرمل أو الحصى,أرغب في الذهاب برحلة إلى الشاطئ,
9247818,body,an individual 3-dimensional object that has mass and that is distinguishable from other objects,heavenly body,جِسْم,بنية ثلاثية الأبعاد لها كتلة  وتتميز عن غيرها من الأشياء, جسم الإنسان. ,
9248053,"body of water, water",the part of the earth's surface covered with water (such as a river or lake or ocean),they invaded our territorial waters; they were sitting by the water's edge,مَاء,"جزء من سطح الأرض مغطى بالماء، كتلة مائية ، مسطح مائي",البحار والبحيرات والأنهار تعتبر كتلاً من المياه ,الكتلة المائية
9249904,boson,any particle that obeys Bose-Einstein statistics but not the Pauli exclusion principle; all nuclei with an even mass number are bosons,,بُوزُون,"جسيمات القوة، تخضع لقوانين بوز - أينشتاين الإحصائية، تتحكم في تفاعلات القوى الفيزيائية",,
9250746,"boulder, bowlder",a large smooth mass of rock detached from its place of origin,,"صَخْرَة ,جلمود",صخر ضخم متكورمنفصل عن مكانه,احتاج الأمر إلى رافعة لإزالة الصخرة التي تقطع الطريق. احذر هناك جلمود كبير على الجبل,
9253675,"calculus, concretion",a hard lump produced by the concretion of mineral salts; found in hollow organs or ducts of the body,renal calculi can be very painful,حَصَاة,واحدة من صغار الحجارة تنتج من تصلب الأملاح المعدنية وتوجد في جوف الأعضاء أو القنوات في الجسم,تتكون حصى الكلى بسبب عدم استهلاك كميات كافية من السوائل,حصيات الكلى
9262646,"celestial body, heavenly body ",natural objects visible in the sky,, جُرُم سَمَاوِي,كل جسم موجود في الفضاء الخارجي مرئي في السماء,الشمس والنجوم هي أجرام سماوية,
9264153,channel,a deep and relatively narrow body of water (as in a river or a harbor or a strait linking two larger bodies) that allows the best passage for vessels,the ship went aground in the channel,قَنَاة,ممر مائي عميق وضيق نسبياً تربط بين كتلتي مياه أكبر وتسمح بمرور السفن بشكل أفضل,جنحت سفينة الحاويات في عرض قناة السويس وتسببت في تعطل الملاحة,قناة مائية
9270316,cloud,a visible mass of water or ice particles suspended at a considerable altitude,,"غَيْمَة, سَحَابَة",كتلة بيضاء أو رمادية من جزيئات البخار المتكثف التي تطفو في السماء,"رسم الطفل الطبيعة والشمس والغيوم. أرى سحباً قاتمة في السماء، يبدو أنها ستمطر. ",
9277520,continent,one of the large landmasses of the earth,there are seven continents; pioneers had to cross the continent on foot, قَارَّة ,واحدة من كتل اليابسة الكبرى على سطح الأرض,توجد سبع قارات في العالم,
9280855,"covering, cover, natural covering",a natural object that covers or envelops,under a covering of dust; the fox was flushed from its cover,غِطَاء طَبِيعِي,طبقة طبيعية تخبئ وتحمي ما تحتها ,علينا زيادة الغطاء الطبيعي النباتي على سطح الأرض,
9283124,"encrustation, crust, incrustation",a hard outer layer that covers something,,قِشْرَة,طبقة صلبة تغطي شيئاً ما,"قشرة البيضة، القشرة الأرضية",قشرة صلبة
9294991,"elementary particle, fundamental particle",(physics) a particle that is less complex than an atom; regarded as constituents of all matter,,جُسَيْم أوَّلِي, (فيزياء ) أصغر جزء مستقل تتألف منه المادة والطاقة وهو أصغر من الذرة,تشمل الجسيمات الأولية الإلكترونات والبروتونات والنيوترونات,
9297406,estuary,the wide part of a river where it nears the sea; fresh and salt water mix,,مَصَبّ,جزء من النهر ينتهي إلى بحر أو نهر آخر وفيه تختلط المياه المالحة بالعذبة,البحر الأبيض المتوسط هو مصب مياه نهر النيل,مصب نهري
9300444,expanse,a wide and open space or area as of surface or land or sky,,"اِتِّسَاع ,امتداد",مدى واسع من أرض أو مياه أو فضاء ,تمتد الغيوم على اتساع السماء. جلست لأشاهد امتداد البحر,
9306529,"crossing, ford",a shallow area in a stream that can be forded,,مَعْبَر,جزء ضحل من كتلة مائية يمكن عبورها بالخوض مشياً,تأكد  من وجود معبر في النهر وإلا ستغرق,معبر مائي
9306921,"woodland, timberland, forest, timber",land that is covered with trees and shrubs,,"غأبَة ,أحراج",الأرض  المغطاة بالغابات المنتجة للخشب,للأسف تم قطع هذه الغابات الخشبية من أجل البناء,
9311675,"giant star, giant",a very bright star of large diameter and low density (relative to the Sun),,نَجْم عِمْلاق,نجم عظيم الكتلة  أكبر من الشمس فائق الضياء,"من النجوم العملاقة: العملاق الأحمر، والعملاق الأزرق",
9319027,gulf,an arm of a sea or ocean partly enclosed by land; larger than a bay,,خَلِيج,جزء كبير من البحر داخل في البر ومحاط باليابسة,"خليج المكسيك، الخليج العربي، وخليج عُمان أمثلةعن خلجان كبيرة",
9323580,hadron,any elementary particle that interacts strongly with other particles,,هاردون,جسيم أساسي يحمل قوة التفاعل الشديدة مع الجسيمات الأخرى,,
9325710,"high sea, international waters",the open seas of the world outside the territorial waters of any nation,,"مِيَاه دَوْلِيَة,أَعَالِي البِحَار",مناطق المحيطات التي لا تتبع لسيادة أي دولة وتعتبر ملكاً مشتركاً للملاحة والصيد,أفاد مصدر بأن حادث السفينة وقع في المياه الدولية. تعتبر أعالي البحار مفتوحة أمام أي دولة للصيد أو السفر,
9327371,hole,an opening into or through something,,حُفْرَة,مكان فارغ داخل شيء ما له فتحة تؤدي إلى سطحه,وجد الفلاح كنزاً داخل الحفرة,
9336622,"inlet, recess",an arm off of a larger body of water (often between rocky headlands),,خَلِيج,مسافة طولية  من كتلة مائية أكبر  تتجه نحو الشاطئ  وتقع غالباً بين كتلتي يابسة,كان يسبح في الخليج الصغير جيئة وذهاباً,خليج صغير ضيق
9338065,ion,a particle that is electrically charged (positive or negative); an atom or molecule or group that has lost or gained one or more electrons,,"أيُون,الشوارد",ذرة أو جزيء اكتسب شحنته الكهربائية بعد السالبة أو الموجبة بعد تفاعل كيميائي,عندما تكتسب الذرة الشحنة الكهربائية يصبح اسمها أيون. الشوارد التي تصبح ذات شحنة موجبة تسمى بالكاتيونات,
9339360,island,a land mass (smaller than a continent) that is surrounded by water,,جَزِيرَة,كتلة من اليابسة تحيط بها المياه من جميع الجهات,"جزر الكناري، قبرص، البحرين أمثلة عن جزر",
9344993,"jovian planet, gas giant",any of the four outermost planets in the solar system; much larger than Earth and gaseous in nature (like Jupiter),,كوكب غازي,أي من الكواكب الأربع الكبرى في المجموعة الشمسية  والغازية بطبيعتها  ,الكواكب الغازية الأربع هي المشتري وزحل  وأورانوس ونبتون,أشباه جوبيتر
9351810,lake,a body of (usually fresh) water surrounded by land,,بُحَيْرَة,مسطح مائي ليس كبير عذب المياه غالباً تحيط به اليابسة,بحيرة فكتوريا هي إحدى البحيرات العظمى الأفريقية,
9357302,"land, ground, terra firma, earth, solid ground, dry land",the solid part of the earth's surface,the plane turned away from the sea and moved back over land; the earth shook for several minutes; he dropped the logs on the ground," اليَابِسَة, بَرّ",الجزء الخارجي الصلب من القشرة الأرضية الذي لا يغطيه الماء,تغطي اليابسة حوالي ربع سطح الأرض. تعيش الكائنات الحية في البر والبحر,
9358146,"soil, land, ground",material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use),the land had never been plowed; good agricultural soil, تُرْبَة,الجزء الهش المفكك الذي يشكل الطبقة العليا لسطح الأرض والذي يمكن أن ينبت فيه الغطاء الأخضر,تحتوي التربة الخصبة على المغذيات الرئيسية لنمو النبات,
9358822,landmass,a large continuous extent of land,," اليَابِسَة ,البر",امتداد مستمر من كتلة اليابسة لا تقطعه  المياه,قارتي أمريكا الشمالية والجنوبية أمثلة على كتل اليابسة. مساحة البر أقل من مساحة البحر على سطح الارض,
9368829,"briny, main",any very large body of (salt) water,,عَرْض البَحْر,كتلة واسعة جداً من المياه المالحة,سارت السفينة في عرض البحر,
9370676,"marsh, fenland, marshland, fen",low-lying wet land with grassy vegetation; usually is a transition zone between land and water,thousands of acres of marshland; the fens of eastern England,"مُسْتَنْقَعَات, أهْوَار","أرض منخفضة مشبعة بالماء تنمو بها شجيرات تتواجد بالقرب من البحار والأنهار بطيئة الجريان، وهي عادة منطقة انتقالية بين اليابسة والبر",البانتانال  في حوض الأمازون هو أكبر مستنقع للمياه العذبة في العالم. يضم جنوب العراق ثلاثة أهوار رئيسية,
9375179,"meson, mesotron",an elementary particle responsible for the forces in the atomic nucleus; a hadron with a baryon number of 0,,"ميزوتْرون, مِيزُون",جزء أساسي صغير جداً من المادة مسؤول عن القوى في النواة الذرية ,,
9375746,meteorite,stony or metallic object that is the remains of a meteoroid that has reached the earth's surface,,"الحَجَر النَّيْزَكِيّ,نيزك ",كتلة حجرية من الفضاء لم تتبخر تماماًعند وصولها إلى الغلاف الجوي واصطدمت بسطح الأرض,عثر على حجر نيزكي جنوب اليمن عام1980. يؤدي سقوط النيازك على الأرض إلى انقراض بعض أنواع الحيوان والنبات. ,
9376815,"micrometeorite, micrometeoroid, micrometeor",a meteorite or meteoroid so small that it drifts down to earth without becoming intensely heated in the atmosphere,, شِهَاب,جزء صغير جداً من نيزك يقترب من الأرض دون أن يحترق تماماً في الغلاف الجوي,السماء على موعد مع وابل من الشهب   الليلة,نيزك صغير جداً
9381123,moon,any natural satellite of a planet,Jupiter has sixteen moons,قَمَر,كوكب صغير تابع لكوكب أكبر منه ويدور حوله,لكوكب المريخ قمران يدوران حوله,
9381447,moon,any object resembling a moon,he made a moon lamp that he used as a night light; the clock had a moon that showed various phases,قَمَر,أي جسم يشبه القمر ,هذه الإضاءة باهتة كضوء القمر,
9381648,"moor, moorland",open land usually with peaty soil covered with heather and bracken and moss,,سَبْخَة,أرض مستوية ذات تربة ملحية مغطاة بالسراخس والطحالب,السبخات أراض لا تصلح للزراعة,
9382700,"mountain, mount",a land mass that projects well above its surroundings; higher than a hill,,جَبَل,كتلة يابسة وأحد التضاريس الأرضية يرتفع عما حوله من الأرض شديد الانحدار مرتفع القمة أعلى من التلة,سلسلة الجبال الأمريكية. جبال الألب  في سويسرا,
9384414,"versant, mountainside",the side or slope of a mountain,conifer forests cover the eastern versant,مُنْحَدَر,"جانب الجبل، جرف شديد الميلان من الأعلى للأسفل",تغطي غابات الصنوبر المنحدر الشرقي للجبل,
9389214,"natural elevation, elevation",a raised or elevated geological formation,,مرتفع,كتلة جغرافية طبيعية مرتفعة عن سطح الأرض,الجبال والتلال والهضاب أمثلة عن مرتفعات طبيعية,
9390630,neck,a narrow elongated projecting strip of land,,بَرْزَخ,قطعة أرض ضيقة محصورة بين بحرين تصل براً ببر,تعتبر قناة السويس برزخاً شُقّ في اليابسة ليصل البحر الأحمر بالبحر الأبيض,
9392066,nest,a structure in which animals lay eggs or give birth to their young,,عُشّ,المأوى الذي تحضره الطيور أو الحيوانات لتضع فيه البيض,لإيجاد عدد النيوترونات في الذرةنطرح العدد الذري من الكتلةالذرية,
9392431,neutron,an elementary particle with 0 charge and mass about equal to a proton; enters into the structure of the atomic nucleus,,نيُوتْرُون,جسم متعادل الشحنة يدخل في تركيب نواة الذرة,النيوترون لا يحمل شحنة كهربائية,
9399110,ocean,a large body of water constituting a principal part of the hydrosphere,,مُحِيط,الجزء الأكبر من الغلاف المائي الكبير الذي يغطي الكرة الأرضية,توجد خمس محيطات في العالم,محيط مائي
9400037,offing,the part of the sea that can be seen from the shore and is beyond the anchoring area,there was a ship in the offing,عَرْض البَحْر,الجزء من البحر الذي يمكن رؤيته من الشاطئ,رأيت سفينة تسير في عرض البحر,
9402023,"gap, opening",an open or empty space in or between things,there was a small opening between the trees; the explosion made a gap in the wall," فُرْجَة, فَجْوَة, ثُغْرَة, فُتْحَة",متسع فارغ بين شيئين," فرجة واسعة بين العمودين. هناك فجوة كبيرة بين الأجيال،  ثغرة في الجدار.عليك إجراء تقويم فلديك فتحة بين الأسنان الأمامية",
9408804,"piece, part",a portion of a natural object,they analyzed the river into three parts; he needed a piece of granite," قِسْمَ, جُزْء",جزء من كتلة طبيعية,قاموا بتقسيم سلسلة الجبال إلى قسمين شرقية وغربية. أحتاج جزءاً من هذا الرخام لأتمم البناء,
9409315,"subatomic particle, particle",a body having finite mass and internal structure but negligible dimensions,,جُسَيْم,جزء صغير جداً من المادة أصغر من الذرة له كتلة محددة وبنية داخلية  وأبعاده ضئيلة,من الجسيمات دون الذرية البروتونات والنيوترونات والإلكترونات,
9416498,"plain, champaign, field",extensive tract of level open land,they emerged from the woods onto a vast open plain; he longed for the fields of his youth,حَقْل,أرض ريفية واسعة  مزروعة بنبات معين,ركضت الطفلة في حقول الأزهار,
9416900,"planet, major planet","(astronomy) any of the nine large celestial bodies in the solar system that revolve around the sun and shine by reflected light; Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune, and Pluto in order of their proximity to the sun; viewed from the constellation Hercules, all the planets rotate around the sun in a counterclockwise direction",,كَوْكَب,(فلك) أحد الأجرام التسعة التي تدور حول الشمس في المجموعة الشمسية بعكس عقارب الساعة وتستضيء بضوئها  ,"الكواكب التسعة هي عطارد، الزهرة، الأرض، المريخ، المشتري، زحل، أورانوس، نبتون وبلوتو",
9420482,"pool, puddle",a small body of standing water (rainwater) or other liquid,there were puddles of muddy water in the road after the rain; the body lay in a pool of blood, بِرْكَة,مستجمع مائي صغير من المياه الراكدة ( غالباً مياه الأمطار ),تسببت الأمطار الغزيرة بتشكل البرك في الشوارع,
9422912,proton,a stable particle with positive charge equal to the negative charge of an electron,,برُوتُون,جسيم دون ذري ذو شحنة موجبة  كتلته صغيرة جداً,شحنة البروتون الموجبة تعادل شحنة الإلكترون السالبة في الذرة,
9426302,rainbow,an arc of colored light in the sky caused by refraction of the sun's rays by rain,,قَوْس قُزَح,ظاهرة طبيعية فيزيائية  ناتجة عن تكسر الضوء ينتج عنها قوس ملون  يمكن رؤيته عند سقوط المطر مع شروق الشمس في نفس الوقت,رأيت قوس قزح في الأفق عندما أشرقت الشمس بعد المطر,
9426609,"range of mountains, chain, range, chain of mountains, mountain range, mountain chain",a series of hills or mountains,the valley was between two ranges of hills; the plains lay just beyond the mountain range,سِلْسِلَة جِبَال,مجموعة مرتفعات  متتالية تشكل سلسلة كاملة ,سلسلة جبال الأنديز وسلسلة الهيمالايا من أهم السلاسل الجبلية في العالم,
9430224,remains,any object that is left unused or still extant,I threw out the remains of my dinner,بَقَايا,أي شيء لم يتم استخدامه أوما زال موجوداً,ما تزال بقايا الطين عالقة في الثياب.    قمت بتسخين بقايا عشائي من الأمس وتناولتها,
9434308,river,a large natural stream of water (larger than a creek),the river was navigable for 50 miles,نَهْر,"مجرى ماء طبيعي عذب المياه يمتد بين المنبع والمصب، وهو أكبر من الجدول", النيل هو أطول نهر في العالم,
9438954,"rock, stone",a lump or mass of hard consolidated mineral matter,he threw a rock at me,"صَخْر, حَجَر",كتلة حجرية صلبة تبلورت فيها  المادة المعدنية,تقسم الصخور إلى ثلاثة أنواع: النارية والرسوبية والمتحولة. من أنواع حجارة البناء الرخام والغرانيت والطوب,
9440243,row,a long continuous strip (usually running horizontally),a mackerel sky filled with rows of clouds; rows of barbed wire protected the trenches,خَطّ,شريط طويل مستمر يكون بشكل أفقي غالباً ,رتب البائع صناديق الخضار  في خطوط أفقية,
